,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
237,Co1 Fe1 Ni1,,C,25.0,8.5,8.524402703,FCC,125.0,204.0,,,206.7823096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6159420289855072
373,Mo1 Nb1 Ti1 V0.50 Zr1,CAST,C,25.0,7.205,7.207997756,BCC,,1650.0,,,141.6122782,28.1,18.0,,Prof.Yeh-RHEA,0.5221014492753623
15,Al0.25 Mo1 Nb1 Ti1 V1,CAST,C,25.0,7.1,7.065041148,BCC,460.0,1250.0,,164.0,160.7240221,13.0,12.0,,Prof.Yeh-RHEA,0.5144927536231884
229,Co1 Cr1 Mn1 Ni1,,T,25.0,8.1,8.066118534,FCC,,282.0,694.0,,222.1443966,44.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5869565217391304
350,Mo1 Nb1 Ta1 V1 W1,,,25.0,12.4,12.37616704,BCC,,1246.0,,,229.2405322,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.8985507246376812
0,Ag1 Al1 Nb1 Ti1 Zn1,ANNEAL,,,4.75,6.7,,,,,,,,,10.1016/j.msea.2018.12.020,,0.3442028985507246
19,Al0.2 Cr1 Cu1 Fe1 Ni2,,,25.0,8.0,8.035241948,FCC,,,,,197.0352363,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5797101449275363
272,Hf1 Mo1 Nb1 Ti1 Zr1,CAST,C,1200.0,8.68,8.7,BCC,,187.0,,,128.0,,,10.1016/j.actamat.2019.06.032,,0.6289855072463768
280,Hf1 Mo0.5 Nb1 Ti1 V0.5,CAST,C,25.0,9.02,8.97404319,BCC,,1260.0,,,125.5758684,35.0,35.0,,Prof.Yeh-RHEA,0.653623188405797
56,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,FCC,225.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5507246376811593
336,Mo1 Nb1 Ta1 Ti1 W1,CAST,C,23.0,11.72,11.8,BCC,,1343.0,,,222.0,,,10.1016/j.actamat.2019.06.032,,0.8492753623188406
82,Al0.875 Co1 Cr1 Fe1 Ni1,,,25.0,6.9,6.855946636,BCC,538.0,,,,188.2105698,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5
239,Co1 Fe1 Ni1,,T,25.0,8.5,8.524402703,FCC,,211.0,513.0,,206.7823096,31.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6159420289855072
368,Mo1 Nb1 Ti1 V1,,C,25.0,7.3,7.343754914,BCC,441.0,1200.0,,,166.5144243,26.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5289855072463767
79,Al0.75 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.3,9.091430053,BCC,427.0,1415.0,,102.0,102.7968193,30.0,30.0,,Prof.Yeh-RHEA,0.6739130434782609
90,Al1.25 Co1 Cr1 Fe1 Ni1,,,25.0,6.5,6.466931593,BCC,499.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.47101449275362317
