,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
116,Al1.25 Co1 Cr1 Fe1 Ni1,,,25.0,6.5,6.466931593,BCC,487.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4492619926199262
299,Co1 Cr1 Fe1 Ni1,,,25.0,8.2,8.175043328,FCC,113.0,,,,225.7139231,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.10424354243542436
76,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,,,25.0,7.6,7.56136684,FCC,204.0,,,,186.4990569,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.1881918819188192
246,Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,ANNEAL,,25.0,,7.8,FCC,509.0,,,,,,,10.1016/j.actamat.2011.06.041,,0.46955719557195574
379,Hf1 Nb1 Ta1 Zr1,CAST,C,25.0,,11.1,BCC,365.0,1315.0,1800.0,,105.0,21.6,,10.1016/j.actamat.2016.01.018,,0.3367158671586716
15,Al0.25 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.7,FCC,110.0,,,,213.0,,,10.1016/j.jallcom.2009.08.090,,0.1014760147601476
238,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,WROUGHT,,,,7.8,FCC,197.0,,,,213.0,,,10.1016/j.msea.2019.138181,,0.18173431734317344
356,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,CAST,C,25.0,,6.8,BCC,318.9,1025.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,0.2941881918819188
0,Al0.053 Cu1 Mn1 Ni1,CAST,C,25.0,,8.3,FCC,166.0,330.0,,,173.0,45.0,,10.1016/j.jallcom.2015.07.285,,0.15313653136531366
19,Al0.25 Co1 Cr1 Fe1 Ni1,,,25.0,7.7,7.719849722,FCC,113.0,,,,212.7722739,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.10424354243542436
277,Co1 Cu1 Fe1 Ni1 Ti1 V1 Zr1,CAST,,25.0,,7.1,,630.0,,,,,,,10.1002/adem.200300567,,0.5811808118081181
285,Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,8.3,8.331325886,FCC,132.0,230.0,,206.0,206.0965696,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.12177121771217712
56,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.088964376,BCC,500.0,1841.0,2269.0,,107.0447572,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.4612546125461255
394,Mo1 Nb1 Ta1 Ti0.5 W1,CAST,C,25.0,,12.6,BCC,481.2,1211.0,1578.0,,234.0,,,10.1016/j.msea.2017.12.004,,0.4439114391143911
82,Al0.5 Cr1 Cu1 Fe1 Ni1,CAST,,,,7.4,FCC,226.0,,,,185.0,,,10.1007/s11665-018-3822-8,,0.20848708487084872
355,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,CAST,C,800.0,,6.7,BCC,322.5,135.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,0.2975092250922509
284,Co1 Cr1 Cu1 Fe1,,,25.0,8.2,8.196451779,FCC,134.0,,,,207.5263345,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.12361623616236163
79,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.6,,,25.0,7.2,7.245214601,BCC,594.0,,,,173.6429946,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5479704797047971
90,Al0.5 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.8,6.817877503,BCC,487.0,1625.0,,158.0,155.5890876,11.0,11.0,,Prof.Yeh-RHEA,0.4492619926199262
367,Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,BCC,492.0,1373.0,,109.0,130.0,50.0,,10.1016/j.matlet.2016.03.133,,0.45387453874538747
