,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
136,Al1 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,,7.1,,,1285.0,,,,,,10.1016/j.matdes.2016.12.036,,0.5191059258870248
712,Mo1 Nb1 Ta1 Ti1 W1,CAST,C,600.0,,11.8,BCC,,689.0,1681.0,,222.0,,,10.1016/j.intermet.2017.01.007,,0.27833772991140865
611,Hf1 Nb1 Ti1 Zr1,CAST,T,25.0,,8.4,BCC,,879.0,969.0,,89.0,,14.9,10.1016/j.matlet.2014.05.134,,0.3550926917157158
174,Al1 Cr1 Mo1 Ti1,ANNEAL,C,1000.0,,6.0,BCC,,375.0,,,189.0,,,10.1007/s11661-017-4386-1,,0.15149005619271153
516,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,25.0,,8.4,BCC,,1150.0,,,100.0,,,10.1016/j.msea.2017.10.073,,0.46456950565764865
299,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,-70.0,,8.4,FCC,,350.0,,,202.0,,28.8,10.1016/j.scriptamat.2019.02.038,,0.14139071911319742
572,Hf1 Mo1 Nb1 Ti1 Zr1,CAST,C,1200.0,8.68,8.7,BCC,,187.0,,,128.0,,,10.1016/j.actamat.2019.06.032,,0.07554304135476547
96,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,500.0,7.6,7.621679625,FCC,,421.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.17007283641901746
39,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,800.0,,7.4,FCC,,399.0,575.0,,185.0,9.0,,10.3390/e21020169,,0.16118541978904505
688,Mo1 Nb0.769 Ti0.769 V0.769 Zr0.769,ANNEAL,C,25.0,,7.3,BCC,,1496.0,,,150.0,,30.0,10.1016/j.matdes.2015.06.072,,0.6043443308381238
589,Hf1 Nb1 Ta1 Ti1 Zr1,CAST,T,25.0,,9.9,BCC,,828.0,862.0,,107.0,50.0,,10.1016/j.msea.2015.12.017,,0.334490044073507
781,Mo1 Nb1 Ti1 V0.50 Zr1,CAST,C,25.0,7.205,7.207997756,BCC,,1650.0,,,141.6122782,28.1,18.0,,Prof.Yeh-RHEA,0.6665562472479307
311,Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,FCC,,330.0,553.0,223.0,213.0,101.0,,10.1016/j.actamat.2019.04.017,,0.13331124944958614
554,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,1200.0,9.93,9.9,BCC,,556.0,,,137.0,,,10.1016/j.actamat.2019.06.032,,0.22460925664839362
359,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,1371.21,1403.0,,220.0,4.31,,10.1007/s11661-019-05231-y,,0.5539324798720212
519,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-196.0,,8.4,BCC,,1920.0,,,100.0,,,10.1016/j.msea.2017.10.073,,0.7756290877066829
137,Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,,C,25.0,,6.6,,,1523.0,,,,8.1,,10.1016/j.matdes.2016.12.036,,0.615251614883999
680,Mo1.5 Nb1 Ti1 V1 Zr1,CAST,C,25.0,7.4,7.374721493,BCC,,1603.0,,,155.8178991,20.0,20.0,,Prof.Yeh-RHEA,0.6475694935384442
120,Al0.75 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.6,6.597193785,BCC,517.0,1260.0,,154.0,151.0042854,8.0,7.0,,Prof.Yeh-RHEA,0.5090065888075107
718,Mo1 Nb1 Ta1 Ti1 W1,CAST,C,1000.0,11.72,11.8,BCC,,620.0,,,222.0,,,10.1016/j.actamat.2019.06.032,,0.2504635595719497
76,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,,800.0,9.1,9.088964376,BCC,,796.0,,,107.0447572,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.321562892611729
260,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,800.0,7.1,7.147250402,BCC,,1597.0,,,118.2773132,11.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6451456526393607
644,Hf1 Nb1 Ta1 Ti1 W1 Zr1,CAST,C,25.0,11.23,11.19531061,BCC,,1550.0,,,148.4958845,26.3,24.5,,Prof.Yeh-RHEA,0.6261588989298743
266,Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5,,,25.0,6.8,6.848966848,BCC,,1280.0,,,105.1027635,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.517086058471122
227,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,,C,25.0,6.775,6.769776572,BCC,569.0,1640.0,,,182.0579107,17.2,,,Prof.Yeh-3dtransitional,0.6625165124161251
855,Nb1 Ti1 V1 Zr1,,,600.0,6.3,6.458317279,BCC,,834.0,,,100.1988131,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.3369138849725904
323,Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,,8.3,FCC,286.0,230.0,888.0,,206.0,51.0,,10.1016/j.msea.2011.11.063,,0.09291390113152974
584,Hf1 Nb1 Ta1 Ti1,ANNEAL,C,20.0,,10.9,BCC,,860.0,,,119.0,,,10.1016/j.actamat.2019.06.006,,0.3474171955352851
709,Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,1000.0,10.91,11.0,BCC,,753.0,,,209.0,,,10.1016/j.actamat.2019.06.032,,0.3041920328349647
196,Al1 Nb1 Ti1 V1,ANNEAL,C,600.0,,5.5,BCC,,810.0,1050.0,,,,,10.1016/j.matlet.2014.11.162,,0.3272185213762569
346,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,1120.0,,,,,,10.1016/j.msea.2018.10.094,,0.4524503011622317
715,Mo1 Nb1 Ta1 Ti1 W1,CAST,C,1200.0,,11.8,BCC,,586.0,814.0,,222.0,,,10.1016/j.intermet.2017.01.007,,0.23672846114381055
360,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,1362.74,1471.0,,220.0,19.01,,10.1007/s11661-019-05231-y,,0.5505108244694819
604,Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,BCC,295.0,1073.0,,55.0,107.0,,,10.1016/j.jallcom.2014.11.064,,0.43346354745274523
281,Co0.25 Cr0.25 Fe1 Mn1,CAST,T,25.0,,7.7,FCC,,213.0,471.0,,212.0,55.7,,10.1016/j.msea.2019.138039,,0.08604635191746014
211,Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,700.0,6.3,6.271288576,BCC,,567.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.22905296496337982
669,Mo0.5 Nb1 Ti1 V1 Zr1,ANNEAL,C,25.0,,6.8,BCC,,1473.0,,,122.0,,32.0,10.1016/j.matdes.2015.06.072,,0.5950529407249708
244,Al1 Cr1 Fe1 Ni1,,C,25.0,6.262,6.260628877,BCC,472.5,1410.0,,,178.9440311,28.5,,,Prof.Yeh-3dtransitional,0.5696026112845953
290,Co0.25 Cr1 Ni1,WROUGHT,T,25.0,,8.1,FCC,,356.0,588.0,240.0,238.0,64.0,,10.1016/j.actamat.2019.04.017,,0.1438145600122808
420,Co1 Ni1 V1,WROUGHT,T,25.0,,7.8,,,602.0,1123.0,,,51.0,,10.1002/adma.201807142,,0.24319203687469956
671,Mo0.5 Nb1 Ti1 V1 Zr1,CAST,C,25.0,6.8,6.822863505,BCC,,1473.0,,,122.3241237,32.0,32.0,,Prof.Yeh-RHEA,0.5950529407249708
570,Hf1 Mo1 Nb1 Ti1 Zr1,CAST,C,23.0,8.68,8.7,BCC,,1575.0,,,128.0,,,10.1016/j.actamat.2019.06.032,,0.6362582360093884
63,Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,,800.0,7.7,7.706514339,BCC,,678.0,,,107.1964186,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.27389402159642245
806,Nb1 Ta1 Ti1 V1,CAST,C,25.0,,9.2,BCC,,965.0,,,134.0,,,10.1016/j.msea.2016.07.102,,0.3898344112692443
633,Hf1 Mo1 Nb1 Ti1 Zr1,,,1000.0,8.7,8.685086263,BCC,,635.0,,,127.9212828,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.2565231618196582
655,Hf1 Nb1 Ta1 Zr1,CAST,C,25.0,11.3,11.06162515,BCC,,1320.0,,,104.9436304,34.0,32.0,,Prof.Yeh-RHEA,0.5332449977983446
65,Al0.3 Nb1 Ta0.8 Ti1.4 V0.2 Zr1.3,,C,25.0,7.7,7.706514339,BCC,500.0,1965.0,2061.0,,107.1964186,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.7938078944498084
305,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,WROUGHT,T,25.0,,8.0,BCC,,1290.0,1415.0,,220.0,1.1,,10.1016/j.msea.2019.01.112,,0.5211257933029276
638,Hf1 Mo1 Ta1 Ti1 Zr1,,,1000.0,10.21,10.19147746,BCC,,855.0,,,142.9802846,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.3453973281193823
