,FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target_nor
777,Mo1 Nb1 Ti1 V1,CAST,C,25.0,7.3,7.343754914,BCC,441.0,1200.0,,170.0,166.5144243,26.0,25.0,,Prof.Yeh-RHEA,0.48476817981667686
107,Al0.5 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.8,6.817877503,BCC,487.0,1625.0,,158.0,155.5890876,11.0,11.0,,Prof.Yeh-RHEA,0.6564569101684166
59,Al0.3 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.5,BCC,353.0,1188.0,,63.0,105.0,50.0,,10.1016/j.jallcom.2014.11.064,,0.4799204980185101
643,Hf1 Nb0.5 O0.2 Ta0.5 Ti1 Zr1,CAST,C,25.0,9.29,8.73288579,BCC,,1390.0,,,,8.2,5.0,,Prof.Yeh-RHEA,0.561523141620984
512,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-43.0,,8.4,BCC,,1200.0,,,100.0,,,10.1016/j.msea.2017.10.073,,0.48476817981667686
100,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.6,7.621679625,FCC,210.0,388.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.15674171147405885
443,Co1 Cr1 Mn1 Ni1,,T,25.0,8.1,8.066118534,FCC,,282.0,694.0,,222.1443966,44.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.11392052225691907
751,Mo1 Nb1 Ta1 Ti0.5 W1,CAST,C,25.0,12.7,12.59689771,BCC,,1210.0,,,234.47241,5.9,5.9,,Prof.Yeh-RHEA,0.4888079146484825
780,Mo1 Nb1 Ti1 V0.50 Zr1,,C,25.0,7.2,7.207997756,BCC,,1647.0,3307.0,,141.6122782,28.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.665344326798389
625,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,25.0,9.95,9.938913534,BCC,,1512.0,,,137.0328224,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6108079065690128
169,Al1 Cr1 Mo1 Ti1,ANNEAL,C,1000.0,5.98,6.0,BCC,,375.0,,,189.0,,,10.1016/j.actamat.2019.06.032,,0.15149005619271153
179,Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,CAST,C,25.0,,5.9,FCC,516.0,980.0,1326.0,145.0,131.0,,7.0,10.1016/j.apsusc.2015.07.207,,0.39589401351695275
304,Co0.875 Cr0.625 Fe1 Ni1,WROUGHT,T,25.0,,8.3,FCC,,241.0,721.0,,220.0,96.2,,10.1080/21663831.2018.1553803,,0.09735760944651593
845,Mo1.5 Nb1 Ti1 V0.3,,C,25.0,7.5,7.886366337,BCC,,1576.0,,,192.4468398,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.6366622094925689
57,Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,,C,25.0,7.505,7.50474373,FCC,181.5,243.5,,,205.1766073,46.0,,,Prof.Yeh-3dtransitional,0.09836754315446734
837,Mo0.3 Nb1 Ti1 V0.3,,C,25.0,6.8,6.902084765,BCC,,1312.0,,,135.0516804,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.5300132099329
149,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,CAST,C,25.0,,6.0,BCC,,1834.0,2195.0,,162.0,,3.0,10.1016/j.msea.2010.07.049,,0.7408873681531545
124,Al1.125 Cu1 Fe0.75 Ni1 Ti1.125,,C,25.0,5.885,5.879319466,FCC,516.0,980.0,,145.0,131.1704646,6.6,,,Prof.Yeh-3dtransitional,0.39589401351695275
685,Mo1 Nb0.667 Ti0.667 V0.2 Zr0.667,ANNEAL,C,25.0,,7.5,BCC,,1576.0,,,159.0,,8.0,10.1016/j.matdes.2015.06.072,,0.6366622094925689
754,Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,25.0,10.9,10.96726778,BCC,,1520.0,,,208.9870566,10.6,10.6,,Prof.Yeh-RHEA,0.6140396944344574
185,Al1 Mo1 Nb1 Ti1,ANNEAL,C,1200.0,6.46,6.5,BCC,,200.0,,,151.0,,,10.1016/j.actamat.2019.06.032,,0.08079469663611281
580,Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,1200.0,,10.2,BCC,,404.0,,,143.0,4.0,,10.1016/j.intermet.2015.03.013,,0.16320528720494787
50,Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,CAST,C,25.0,1.46,1.4,,,300.0,,,,63.0,,10.3390/ma12071136,,0.12119204495416921
341,Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,FCC,,560.0,,,220.0,39.5,,10.1016/j.msea.2019.04.025,,0.22622515058111586
446,Co1 Fe1 Mn1 Ni1,,T,25.0,8.2,8.245835379,FCC,,170.0,550.0,,204.4519856,41.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.06867549214069589
857,Nb1 Ti1 V1 Zr1,,,1000.0,6.3,6.458317279,BCC,,58.0,,,100.1988131,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.023430462024472715
523,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,72.0,,8.4,BCC,,640.0,,,100.0,,,10.1016/j.msea.2017.10.073,,0.258543029235561
321,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,FCC,,439.0,,,231.0,63.0,,10.1016/j.ijplas.2018.10.005,,0.1773443591162676
353,Co1 Cr1 Fe1 Mn1 Ni1,ANNEAL,C,25.0,,8.0,FCC,135.0,230.0,,,220.0,,,10.1016/j.jallcom.2014.12.157,,0.09291390113152974
804,Nb1 Ta1 Ti1,WROUGHT,C,1000.0,,10.0,BCC,,160.0,,,136.0,18.5,,10.1016/j.actamat.2019.06.006,,0.06463575730889025
142,Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,BCC,,1051.0,,,,22.7,,10.1016/j.msea.2010.07.028,,0.42457613082277285
470,Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,FCC,,460.0,599.0,182.0,203.0,25.0,,10.1016/j.actamat.2019.04.017,,0.18582780226305948
370,Co1 Cr1 Fe1 Mo0.15 Ni1,CAST,T,25.0,,8.3,FCC,,489.0,895.0,,231.0,,53.6,10.1016/j.msea.2019.05.078,,0.19754303327529582
568,Hf1 Mo1 Nb1 Ti1 Zr1,CAST,C,25.0,,8.7,BCC,,1719.0,1803.0,,128.0,,,10.1016/j.matdes.2015.05.019,,0.6944304175873897
141,Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,BCC,,1110.0,,,,0.8,,10.1016/j.msea.2010.07.049,,0.4484105663304261
399,Co1 Cr1 Ni1,ANNEAL,T,24.0,,8.3,,,400.0,800.0,,231.0,76.0,,10.1016/j.jmst.2018.12.002,,0.16158939327222563
493,Hf0.26 Nb1 Ta1 Ti0.578 Zr0.416,CAST,C,100.0,,10.4,BCC,,765.0,,,122.0,,,10.1080/14786435.2015.1028506,,0.3090397146331315
263,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,C,25.0,7.1,7.147250402,BCC,591.0,2000.0,2368.0,,118.2773132,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.8079469663611281
320,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,WROUGHT,T,25.0,,8.6,FCC,,649.0,,,231.0,42.0,,10.1016/j.ijplas.2018.10.005,,0.2621787905841861
19,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,C,25.0,7.5,7.458566983,FCC,,750.0,1970.0,195.0,189.296876,39.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0.30298011238542305
172,Al1 Cr1 Mo1 Ti1,ANNEAL,C,600.0,,6.0,BCC,,1020.0,,,189.0,,,10.1007/s11661-017-4386-1,,0.4120529528441753
706,Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,1200.0,,11.0,BCC,,659.0,696.0,,209.0,,,10.1016/j.intermet.2017.01.007,,0.2662185254159917
312,Co1 Cr0.2 Fe1 Ni1 Si0.2,CAST,T,25.0,,7.8,FCC,130.1,225.0,732.0,,195.0,61.0,,10.1016/j.jmmm.2019.01.096,,0.09089403371562692
390,Co1 Cr1 Fe1 Ni1,WROUGHT,T,-73.0,,8.2,FCC,,488.0,790.0,194.0,226.0,85.0,,10.1007/s40843-018-9373-y,,0.19713905979211527
689,Mo1 Nb1 Re0.5 W1,CAST,C,25.0,,13.7,BCC,473.0,896.0,,,298.0,10.4,7.08,10.1016/j.jallcom.2018.11.111,,0.3619602409297854
407,Co1 Fe1 Ni1,CAST,C,25.0,,8.5,FCC,125.0,209.0,,,207.0,31.0,,10.1016/j.jmmm.2014.07.023,,0.08443045798473789
544,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,800.0,,9.9,BCC,,1007.0,,,137.0,12.0,,10.3390/e21010015,,0.406801297562828
