FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Hf1 Mo1 Nb1 Ta1 Zr1,CAST,C,1000.0,,10.9,1,,927.0,,,141.0,,,10.3390/e21010015,,1
Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,0,,407.0,536.0,182.0,203.0,27.0,,10.1016/j.actamat.2019.04.017,,0
Co1 Cr1 Fe1 Mn1 Ni1,,C,25.0,8.025,8.027647867,0,144.0,230.0,,,219.8823361,,,,Prof.Yeh-3dtransitional,0
Hf1 Mo0.5 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.9,9.917872809,1,480.0,1317.0,,130.0,123.0677835,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,CAST,,25.0,,6.2,1,790.0,,,,129.0,,,10.1002/adem.200300567,,1
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,-70.0,,8.4,0,,350.0,,,202.0,,28.8,10.1016/j.scriptamat.2019.02.038,,0
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,72.0,,8.4,1,,1020.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Al0.10 Co1 Cr1 Fe1 Mn1 Ni1,,,25.0,7.9,7.879317948,0,180.0,,,,215.7108266,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,WROUGHT,T,25.0,,7.8,0,107.0,62.0,169.0,16.6,200.0,98.0,,10.1016/j.matchar.2019.109792,,0
Nb1 Ti1 Zr1,ANNEAL,,,,6.5,1,,,,,94.0,51.0,,10.1007/s12598-019-01310-6,,1
Mo0.3 Nb1 Ti1 V1 Zr1,,C,25.0,6.7,6.685845916,1,,1289.0,,,114.0081503,42.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ti1 V1.5 Zr1,CAST,C,25.0,7.055,7.050560244,1,,1735.0,,,139.6374891,20.1,13.2,,Prof.Yeh-RHEA,1
Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,CAST,,25.0,,6.6,1,539.0,,,,180.0,,,10.1016/j.actamat.2013.09.037,,1
Al1 Nb1 Ta1 Ti1,CAST,C,200.0,,8.2,1,,740.0,,,,,,10.1016/j.actamat.2019.06.006,,1
Mo0.3 Nb1 Ti1 V1 Zr1,CAST,C,25.0,6.7,6.685845916,1,,1289.0,,,114.0081503,42.0,42.0,,Prof.Yeh-RHEA,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,520.0,,9.9,1,,,,81.9,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,,940.0,953.0,,107.0,7.9,,10.1016/j.matlet.2016.08.060,,1
Al1 Mo1 Nb1 Ti1,ANNEAL,C,1200.0,6.46,6.5,1,,200.0,,,151.0,,,10.1016/j.actamat.2019.06.032,,1
Mo0.5 Nb1 Ti1 V0.3,CAST,C,25.0,6.9,7.119829355,1,,1301.0,,,147.7487437,43.0,43.0,,Prof.Yeh-RHEA,1
Al1 Nb1 Ti1 V1,,,25.0,5.5,5.496265861,1,,1020.0,,,103.9545112,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Cr1 Cu1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,2,162.0,470.0,640.0,,,,,10.1016/j.matchar.2019.05.043,,2
Co1 Cr0.053 Ni1,WROUGHT,T,25.0,,8.8,0,,,,219.0,207.0,,,10.1016/j.actamat.2019.04.017,,0
Mo1.7 Nb1 Ti1 V1 Zr1,,C,25.0,7.5,7.464302832,1,,1645.0,,,161.2548363,15.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,800.0,6.3,6.271288576,1,,302.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cr1 Mo1 Ti1,ANNEAL,C,23.0,5.98,6.0,1,,1100.0,,,189.0,,,10.1016/j.actamat.2019.06.032,,1
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,CAST,,25.0,,7.4,0,,,,,192.0,,,10.1016/j.jallcom.2008.11.059,,0
Co1 Cr1 Fe1 Ni1,CAST,T,25.0,,8.2,0,,155.0,472.0,,,,,10.1016/j.actamat.2016.06.063,,0
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,CAST,,25.0,,7.2,1,597.0,,,,172.0,,,10.1007/s11661-006-0081-3,,1
Al0.4 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.3,0,,,,,179.0,,,10.1063/1.3587228,,0
