FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Al0.1 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,8.0,0,,,,,197.0,,,10.1063/1.3587228,,0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,T,25.0,,8.3,0,,,790.0,,232.0,49.0,,10.3390/e21050448,,0
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,23.0,,7.4,0,,520.0,696.0,,,,,10.3390/e21020169,,0
Al1.25 Co1 Cr1 Fe1 Ni1,,,25.0,6.5,6.466931593,1,499.0,,,,177.1504491,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,0,,282.0,694.0,,222.0,44.0,,10.1016/j.actamat.2014.08.026,,0
Co1 Cr1 Fe1 Mo0.2 Ni1,ANNEAL,T,25.0,,8.3,0,,,849.0,,232.0,34.0,,10.3390/e21050448,,0
Mo0.7 Nb1 Ti1 V1 Zr1,CAST,C,25.0,7.0,6.949676036,1,,1706.0,,,130.0207242,32.0,32.0,,Prof.Yeh-RHEA,1
Mo1 Nb1 Ta1 Ti0.75 W1,,C,25.0,,12.15284498,1,495.6,1305.0,1593.0,,227.9760874,8.4,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Mn1 Ni1,ANNEAL,,,,8.0,0,,,,,220.0,49.0,,10.1016/j.jallcom.2018.11.181,,0
Al1 Mo1 Ta1 Ti1 V1,CAST,C,25.0,,8.2,1,,,735.0,,165.0,,,10.4028/www.scientific.net/MSF.898.638,,1
Hf1 Nb1 Ta1 Ti1 Zr1,,,600.0,9.9,9.893530612,1,,675.0,,,106.9115089,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,360.0,,9.9,1,,,,84.9,107.0,15.7,,10.1016/j.jallcom.2019.05.322,,1
Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,1,,1110.0,,,,0.8,,10.1016/j.msea.2010.07.049,,1
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,CAST,C,25.0,,7.5,0,,750.0,1970.0,103.0,189.0,,39.0,10.1016/j.jallcom.2008.11.059,,0
Mo1.3 Nb1 Ti1 V0.3,,C,25.0,7.4,7.764873617,1,,1603.0,,,185.3623894,20.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Nb1 Ti1 V0.3 Zr1,ANNEAL,C,25.0,,6.5,1,,866.0,,,96.0,,45.0,10.1016/j.matdes.2015.06.072,,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,CAST,T,25.0,,8.6,0,,350.0,720.0,,234.0,21.9,,10.1016/j.scriptamat.2017.05.019,,0
Mo0.3 Nb1 Ti1 V0.3,CAST,C,25.0,6.8,6.902084765,1,,1312.0,,,135.0516804,50.0,50.0,,Prof.Yeh-RHEA,1
Al1 Cr1 Mo1 Nb1 Ti1,,,25.0,6.6,6.565952966,1,,,,,170.0203827,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,6.7,1,484.0,,,,,,,10.1016/j.jallcom.2009.08.090,,1
Al0.25 Co1 Fe1 Ni1,,C,25.0,7.885,7.886957534,0,137.5,160.5,,,191.8170678,,,,Prof.Yeh-3dtransitional,0
Cu1 Mn1 Ni1 Zn0.333,CAST,C,25.0,,8.3,0,147.0,215.0,,,167.0,60.0,,10.1016/j.jallcom.2015.07.285,,0
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,1200.0,,9.9,1,,556.0,,,137.0,30.0,,10.3390/e21010015,,1
Nb1 Ti1 V2 Zr1,,,800.0,6.3,6.404764627,1,,240.0,,,104.6359102,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cu1 Fe1 Ni1 Ti1,,C,25.0,6.105,6.105067309,1,516.0,1070.0,,146.0,136.9184166,8.2,,,Prof.Yeh-3dtransitional,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,520.0,,,,,20.3,10.1016/j.msea.2019.04.025,,0
Nb1 Ti1 V2 Zr1,,,1000.0,6.3,6.404764627,1,,72.0,,,104.6359102,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,CAST,C,800.0,,6.7,1,322.5,135.0,,,100.0,50.0,,10.1007/s40195-019-00921-3,,1
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,C,25.0,7.5,7.458566983,0,,750.0,1970.0,195.0,189.296876,39.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,1000.0,9.95,9.938913534,1,,814.0,,,137.0328224,30.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ti1 Zr1,,T,25.0,8.4,8.389278152,1,,879.0,969.0,,89.37400368,15.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1.5 Co1 Cr1 Fe1 Ni1,,,25.0,6.2,6.245655305,1,402.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ti1 V0.75 Zr1,CAST,C,25.0,7.165,7.163833007,1,,1710.0,,,141.0583056,29.3,15.5,,Prof.Yeh-RHEA,1
Mo1 Nb1 Ti1 V3.0 Zr1,,C,25.0,6.9,6.884746957,1,,1418.0,2508.0,,137.55764,24.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Mo0.15 Ni1,CAST,T,25.0,,8.3,0,,489.0,895.0,,231.0,,53.6,10.1016/j.msea.2019.05.078,,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,,940.0,1080.0,,107.0,,,10.1016/j.actamat.2017.09.062,,1
Nb1 Ti1 V2 Zr1,,C,25.0,6.4,6.404764627,1,304.0,918.0,,,104.6359102,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 W1,,,25.0,13.8,13.65986331,1,,1058.0,,,250.0231927,3.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,,944.0,959.0,,107.0,50.0,,10.1016/j.matlet.2016.08.060,,1
Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,8.3,8.331325886,0,286.0,,,,206.0965696,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.3,1,396.0,1302.0,,97.0,104.0,46.0,,10.1016/j.jallcom.2014.11.064,,1
Co1 Fe1 Ni1,,C,25.0,8.525,8.524402703,0,,211.0,,,206.7823096,30.8,,,Prof.Yeh-3dtransitional,0
Nb1 Ta1 Ti1,WROUGHT,C,1000.0,,10.0,1,,160.0,,,136.0,18.5,,10.1016/j.actamat.2019.06.006,,1
Al0.5 Hf1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,9.34,9.338160378,1,396.0,1302.0,,97.0,104.0625193,46.0,46.0,,Prof.Yeh-RHEA,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,340.0,,9.9,1,,,,85.2,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Hf0.5 Nb0.5 Ta0.5 Ti1.5 Zr1,CAST,T,25.0,8.13,8.186719184,1,,903.0,,,103.2079302,18.8,,,Prof.Yeh-RHEA,1
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,25.0,9.95,9.938913534,1,,1512.0,,,137.0328224,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.4,,,25.0,7.3,7.281595783,1,577.0,,,,175.1224045,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Zr1,CAST,C,25.0,,11.1,1,365.0,1315.0,1800.0,,105.0,21.6,,10.1016/j.actamat.2016.01.018,,1
Hf1 Mo0.75 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.9,9.928762404,1,492.0,1373.0,,139.0,130.2953678,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 Ti0.25 W1,CAST,C,25.0,,13.1,1,478.3,1109.0,1197.0,,242.0,,,10.1016/j.msea.2017.12.004,,1
Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,,C,25.0,9.1,9.088964376,1,500.0,1841.0,2269.0,,107.0447572,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,6.7,1,,1051.0,,,,22.7,,10.1016/j.msea.2010.07.028,,1
Hf1 Nb1 Ti1 Zr1,ANNEAL,,,,8.4,1,,,,,89.0,,,10.1007/s12598-019-01310-6,,1
Al0.3 Nb1 Ta1 Ti1.4 Zr1.3,,,1000.0,8.1,8.088884841,1,,236.0,,,109.5559669,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,20.0,,8.4,0,,252.0,,,202.0,,82.1,10.1016/j.scriptamat.2019.02.038,,0
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,-196.0,,8.4,0,,419.0,,,202.0,,34.6,10.1016/j.scriptamat.2019.02.038,,0
Mo1 Nb0.5 Ti0.5 V0.5 Zr0.5,ANNEAL,C,25.0,,7.6,1,,1765.0,,,169.0,,12.0,10.1016/j.matdes.2015.06.072,,1
Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,,C,25.0,7.825,7.821724444,0,,700.0,,92.5,194.1167208,29.0,,,Prof.Yeh-3dtransitional,0
Mo1 Nb1 Ta1 Ti1 W1,CAST,C,1000.0,,11.8,1,,620.0,1426.0,,222.0,,,10.1016/j.intermet.2017.01.007,,1
Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,0,,522.0,601.0,182.0,203.0,25.0,,10.1016/j.actamat.2019.04.017,,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,0,,1290.0,1400.0,,189.0,,,10.1016/j.jallcom.2009.10.088,,0
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,23.0,,7.4,0,,627.0,1197.0,,,11.0,,10.3390/e21020169,,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V1.2,,,25.0,7.3,7.320414388,1,579.0,,,,176.7009301,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co0.25 Cr0.25 Fe1 Mn1,WROUGHT,T,25.0,,7.7,0,,792.0,1055.0,,212.0,22.6,,10.1016/j.msea.2019.138039,,0
Nb1 Ti1 V1 Zr1,,C,25.0,6.5,6.458317279,1,335.0,1105.0,,,100.1988131,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,800.0,,6.3,1,,302.0,,,,,,10.1007/s11661-005-0218-9,,1
Nb1 Ta1 Ti1 V1,POWDER,C,25.0,,9.2,1,444.3,1308.0,,,134.0,27.9,,10.1016/j.jallcom.2018.10.230,,1
Cr1 Nb1 Ti1 W1,CAST,,,,9.9,1,630.0,,,,217.0,,,10.1016/j.matdes.2018.06.003,,1
Mo1 Nb1 Ti1 V1,,C,25.0,7.3,7.343754914,1,441.0,1200.0,,,166.5144243,26.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 W1,CAST,C,1600.0,,13.7,1,,405.0,,,250.0,,,10.1016/j.intermet.2011.01.004,,1
Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,ANNEAL,T,25.0,,7.8,0,,210.0,503.0,,214.0,70.0,,10.1016/j.actamat.2015.08.076,,0
Mo1 Nb1 Ti1 V1,CAST,C,25.0,,7.3,1,441.0,1200.0,2050.0,,167.0,26.0,,10.3390/e16020870,,1
Al0.25 Co1 Fe1 Ni1,,C,25.0,7.9,7.886957534,0,138.0,158.0,,,191.8170678,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,25.0,,8.3,0,,300.0,,,206.0,50.2,,10.1007/s11665-018-3837-1,,0
Cr1 Mo1 Nb1 Ti1,ANNEAL,C,200.0,,7.6,1,,1268.0,,,196.0,,,10.1016/j.actamat.2019.06.006,,1
Al1 Cr1 Mo1 Nb1 Ti1,ANNEAL,C,800.0,,6.6,1,,875.0,,,,,,10.1007/s11661-017-4386-1,,1
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,6.3,6.271288576,1,,1620.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1.5 Nb1 Ti1 V1 Zr1,CAST,C,25.0,7.4,7.374721493,1,,1603.0,,,155.8178991,20.0,20.0,,Prof.Yeh-RHEA,1
Co1 Mn1 Ni1,WROUGHT,T,25.0,,8.4,0,,601.0,608.0,190.0,202.0,40.0,,10.1016/j.actamat.2019.04.017,,0
Co1 Fe1 Ni1,,C,25.0,8.5,8.524402703,0,125.0,209.0,,,206.7823096,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo1 Nb1 Ti1 Zr1,,C,25.0,8.7,8.685086263,1,,1803.0,1719.0,,127.9212828,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,,,800.0,9.9,9.893530612,1,,535.0,,,106.9115089,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 V1 W1,,,1200.0,12.4,12.37616704,1,,735.0,,,229.2405322,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cr1 Mo1 Ti1,ANNEAL,C,1000.0,,6.0,1,,375.0,,,189.0,,,10.1007/s11661-017-4386-1,,1
Co1 Cr1 Fe1 Ni1,,C,25.0,8.175,8.175043328,0,,147.5,,,225.7139231,48.0,,,Prof.Yeh-3dtransitional,0
Al2.5 Co1 Cr1 Fe1 Ni1,,,25.0,5.6,5.570968838,1,487.0,,,,151.6772537,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,240.0,610.0,,208.0,53.0,,10.1016/j.msea.2018.12.077,,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1 V0.2,,,25.0,7.6,7.56136684,0,204.0,,,,186.4990569,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Mo1 Nb1 Ta1 V1 W1,CAST,C,600.0,,12.4,1,,862.0,,,229.0,17.0,,10.1016/j.intermet.2011.01.004,,1
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,C,1000.0,,10.2,1,,855.0,,,143.0,30.0,,10.3390/e21010015,,1
Cr1 Cu1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,2,367.0,1170.0,1270.0,,,14.0,,10.1016/j.matchar.2019.05.043,,2
Nb1 Ti1 V1 Zr1,CAST,C,25.0,6.521,6.458317279,1,,1051.0,,,100.1988131,50.0,50.0,,Prof.Yeh-RHEA,1
Nb1 Ta1 Ti1,WROUGHT,C,800.0,,10.0,1,,210.0,,,136.0,,,10.1016/j.actamat.2019.06.006,,1
Co1 Cr1 Ni1,WROUGHT,T,25.0,,8.3,0,223.0,346.0,,,,68.0,,10.1016/j.actamat.2018.12.015,,0
Mo1 Nb1 Ta1 V1 W1,CAST,C,1200.0,,12.4,1,,735.0,,,229.0,40.0,,10.1016/j.intermet.2011.01.004,,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,370.0,670.0,,220.0,1.16,,10.1016/j.actamat.2013.06.018,,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,300.0,,9.9,1,,,,85.8,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,WROUGHT,C,-196.0,,8.4,1,,1750.0,,,100.0,,,10.1016/j.msea.2017.10.073,,1
Mo1 Nb1 Ta1 V1 W1,,,25.0,12.4,12.37616704,1,,1246.0,,,229.2405322,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.625,7.621679625,0,210.0,388.0,,,188.9516251,,,,Prof.Yeh-3dtransitional,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,7.6,7.621679625,0,215.0,,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Nb1 Ta1 Ti1 Zr1,,,1200.0,9.9,9.893530612,1,,92.0,,,106.9115089,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,,C,25.0,6.215,6.218362268,1,,1480.0,,,168.6613999,13.0,,,Prof.Yeh-3dtransitional,1
Mo0.667 Nb0.667 Ti0.667 V1 Zr0.667,CAST,C,25.0,,7.1,1,,1735.0,3300.0,,140.0,20.0,,10.1007/s11837-012-0366-5,,1
Nb1 Ta1 Ti1,WROUGHT,C,200.0,,10.0,1,,378.0,,,136.0,,,10.1016/j.actamat.2019.06.006,,1
Cr1 Cu1 Fe1 Mo1 Ni1,,,25.0,8.7,8.717125668,0,263.0,,,,236.4032086,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo1 Nb1 Ti1 Zr1,ANNEAL,C,1200.0,,8.7,1,,187.0,194.0,,128.0,,,10.1016/j.matdes.2015.05.019,,1
Al1 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,6.2,6.228043003,1,,1860.0,2580.0,181.0,169.2125674,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,C,25.0,,8.0,0,430.7,1300.0,,,220.0,10.3,,10.1016/j.scriptamat.2018.11.042,,0
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,,C,25.0,6.8,6.769776572,1,569.0,1641.0,3285.0,,182.0579107,17.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1.0 Co1 Fe1 Ni1,,C,25.0,6.605,6.604716099,1,455.5,963.5,,,161.7140033,,,,Prof.Yeh-3dtransitional,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,2,,1284.0,1344.0,,189.0,,,10.1016/j.actamat.2015.07.004,,2
Mo1 Nb1 Ta1 Ti0.25 W1,,C,25.0,,13.09564737,1,478.3,1109.0,1197.0,,241.768928,2.5,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Ni1,ANNEAL,C,,,8.175043328,2,137.0,,,,225.7139231,,,,Paper_Collection_4_element,2
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,,C,25.0,7.6,7.621679625,0,210.0,388.0,,,188.9516251,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,1,505.0,1512.0,,,137.0,,,10.1016/j.intermet.2015.03.013,,1
Mo1.5 Nb1 Ti1 V0.3,,C,25.0,7.5,7.886366337,1,,1576.0,,,192.4468398,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,CAST,,25.0,,5.3,1,506.0,,,,145.0,,,10.1016/j.jallcom.2008.07.124,,1
Co1 Cr1 Fe1 Ni1,ANNEAL,C,,,8.175043328,2,137.0,,,,225.7139231,,,,Paper_Collection_4_element,2
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,C,25.0,10.0,9.938913534,1,505.0,1512.0,,,137.0328224,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,640.0,,9.9,1,,,,80.2,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Al1 Mo1 Nb1 Ti1,ANNEAL,C,800.0,,6.5,1,,500.0,,,151.0,,,10.1007/s11661-017-4386-1,,1
Al1 Nb1 Ti1 V1,ANNEAL,C,600.0,,5.5,1,,780.0,1005.0,,104.0,,,10.1016/j.jallcom.2015.08.224,,1
Mo1 Nb1 Ta1 W1,,,600.0,13.8,13.65986331,1,,561.0,,,250.0231927,40.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
C1 Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,7.3,0,,643.8,888.0,,,31.9,,10.1016/j.msea.2019.01.050,,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,WROUGHT,T,700.0,,7.6,2,,160.0,180.0,,189.0,,,10.1016/j.jallcom.2009.10.088,,2
Al0.875 Co1 Cr1 Fe1 Ni1,,,25.0,6.9,6.855946636,1,538.0,,,,188.2105698,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,CAST,C,25.0,,6.3,1,,1620.0,,,156.0,,,10.1007/s11661-005-0218-9,,1
Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,WROUGHT,T,25.0,,8.6,0,,350.0,918.0,,234.0,62.4,,10.1016/j.scriptamat.2017.05.019,,0
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,,620.0,,9.9,1,,,,80.4,107.0,,,10.1016/j.jallcom.2019.05.322,,1
Al1 Cr1 Mo1 Nb1 Ti1,CAST,C,25.0,,6.6,1,,,,,170.0,,,10.1016/j.jallcom.2015.11.050,,1
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,210.0,593.0,,208.0,52.0,,10.1016/j.msea.2018.12.077,,0
Mo1 Nb1 Ta1 Ti1 W1,ANNEAL,,,,11.8,1,482.0,,,,222.0,,,10.1016/j.matdes.2018.06.003,,1
Nb1 Ti1 Zr1,CAST,T,25.0,,6.5,1,295.0,956.0,991.0,88.0,94.0,,,10.3390/e21020114,,1
Nb1 Ta1 Ti1 W1,ANNEAL,C,200.0,,12.1,1,,869.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,1
Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,600.0,,11.0,1,,973.0,1590.0,,209.0,,,10.1016/j.intermet.2017.01.007,,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,900.0,,7.4,0,,219.0,312.0,,,18.0,,10.3390/e21020169,,0
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,700.0,,7.6,0,,426.0,,,,12.0,,10.1007/s11661-005-0218-9,,0
Cr1 Cu1 Fe1 Mn1 Ni1,ANNEAL,T,25.0,,8.1,2,,517.0,677.0,,,4.3,,10.1016/j.matchemphys.2018.09.033,,2
Co0.25 Cr0.25 Fe1 Mn1,CAST,T,25.0,,7.7,0,,393.0,634.0,,212.0,26.5,,10.1016/j.msea.2019.138039,,0
Mo1 Nb1 Ta1 Ti1 W1,CAST,C,1200.0,11.72,11.8,1,,586.0,,,222.0,,,10.1016/j.actamat.2019.06.032,,1
Mo1 Nb1 Ta1 Ti1 V1 W1,CAST,C,1200.0,,11.0,1,,659.0,696.0,,209.0,,,10.1016/j.intermet.2017.01.007,,1
Hf1 Mo0.5 Nb1 Ti1 V0.5,CAST,C,1200.0,,9.0,1,,60.0,,,126.0,,,10.1016/j.jallcom.2016.10.014,,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,309.0,830.0,840.0,,107.0,,,10.1016/j.actamat.2017.09.035,,1
Nb1 Ta1 Ti1 W1,ANNEAL,C,600.0,,12.1,1,,596.0,,,198.0,,,10.1016/j.actamat.2019.06.006,,1
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,CAST,C,25.0,,6.1,2,,,1025.0,36.0,,,3.0,10.1016/j.matdes.2009.09.016,,2
Cr1 Cu1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.1,2,312.0,1030.0,1190.0,,,,,10.1016/j.matchar.2019.05.043,,2
Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,WROUGHT,T,25.0,,8.0,0,,719.0,1048.0,,209.0,30.0,,10.1016/j.msea.2017.04.111,,0
Mo1 Nb0.667 Ti0.667 V0.667 Zr0.667,ANNEAL,C,25.0,,7.4,1,,1603.0,,,156.0,,20.0,10.1016/j.matdes.2015.06.072,,1
Mo1 Nb1 Ti1 V0.5 Zr1,CAST,C,25.0,,7.2,1,,1647.0,3307.0,,142.0,28.0,,10.1007/s11837-012-0366-5,,1
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,CAST,T,25.0,,7.5,0,182.0,244.0,,,205.0,45.0,,10.1016/j.actamat.2013.09.037,,0
Co1 Fe1 Ni1,,T,25.0,8.5,8.524402703,0,,211.0,513.0,,206.7823096,31.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
