FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference,target
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,,,25.0,6.2,6.165887156,1,790.0,,,,128.8580452,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,8.0,0,,1269.23,1366.0,,220.0,3.15,,10.1007/s11661-019-05231-y,,0
Al1.5 Co1 Cr1 Fe1 Ni1,,,25.0,6.2,6.245655305,1,484.0,,,,170.8593236,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cr1 Fe1 Ni1,,C,25.0,6.262,6.260628877,1,472.5,1410.0,,,178.9440311,28.5,,,Prof.Yeh-3dtransitional,1
Hf1 Nb1 Ta1 Ti1 Zr1,WROUGHT,T,25.0,,9.9,1,,958.0,974.0,,107.0,50.0,,10.1016/j.matlet.2016.08.060,,1
Al0.304 Co1 Cr1 Fe1 Ni1,ANNEAL,,,,7.6,0,,,,,,44.0,,10.1016/j.jallcom.2013.11.084,,0
Mo1 Nb1 Ta1 W1,CAST,C,25.0,,13.7,1,454.0,1058.0,1211.0,,250.0,40.0,,10.1016/j.intermet.2011.01.004,,1
Nb1 Ta1 Ti1 V1,CAST,C,25.0,,9.2,1,,1092.0,,,134.0,,,10.1016/j.proeng.2012.03.043,,1
Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,CAST,,25.0,,5.6,1,487.0,,,,152.0,,,10.1016/j.jallcom.2008.07.124,,1
Co1 Cr1 Fe1 Ni1 Ti0.2,WROUGHT,T,-196.0,,7.9,0,,860.0,1580.0,,218.0,46.0,,10.1016/j.actamat.2018.11.049,,0
Hf1 Mo1 Nb1 Ti1 Zr1,,,25.0,8.7,8.685086263,1,,1575.0,,,127.9212828,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Mo1 Nb1 Ta1 V1,,C,25.0,10.7,10.68399594,1,504.0,1525.0,2400.0,,185.5314881,21.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,800.0,,7.4,0,,445.0,536.0,,,20.0,,10.3390/e21020169,,0
Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,0,,387.0,626.0,223.0,213.0,73.0,,10.1016/j.actamat.2019.04.017,,0
Co1 Ni1,,C,25.0,8.875,8.870783937,0,,107.0,,,204.5271493,42.4,,,Prof.Yeh-3dtransitional,0
Mo1 Nb1 Ta1 W1,POWDER,,200.0,,13.7,1,420.0,,,,250.0,,,10.1007/s10853-019-03567-9,,1
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,,C,25.0,5.9,5.910793115,2,,,1325.0,,134.1605762,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Co1 Cu1 Fe1 Ni1 Sn0.02,CAST,T,25.0,,8.6,0,,,548.0,,185.0,,17.0,10.1016/j.msea.2012.03.080,,0
Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,ANNEAL,,25.0,,7.8,0,509.0,,,,,,,10.1016/j.actamat.2011.06.041,,0
Co1 Cr1 Fe1 Mo1 Ni1 Ti1 V1 Zr1,,,25.0,7.3,7.312556405,2,850.0,,,,179.6364026,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,2
Co1 Cr1 Fe1 Ni1,CAST,T,25.0,,8.2,0,,148.0,413.0,,226.0,63.0,,10.1016/j.intermet.2015.01.004,,0
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1251.0,2004.0,,184.2786056,33.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ti1 V1,,C,25.0,6.39,6.381747844,2,,1860.0,,,159.6955442,0.95,,,Prof.Yeh-3dtransitional,2
C0.429 Co1 Cr1 Fe1 Ni1 W0.429,POWDER,,,8.39,9.1,0,531.0,,,,,,,10.3390/coatings9010016,,0
Co1 Fe1 Ni1 V1,,,25.0,7.8,7.82745361,0,238.0,,,,183.9197768,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,,C,25.0,6.5,6.45294893,1,,1265.0,2173.0,,175.9990498,14.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al1 Cr1 Mo1 Nb1,ANNEAL,,,,7.2,2,,,,,,,,10.1016/j.matdes.2018.06.003,,2
Co1 Fe1 Mn1 Ni1,,C,25.0,8.245,8.245835379,0,,170.0,,,204.4519856,41.1,,,Prof.Yeh-3dtransitional,0
Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,CAST,C,25.0,,9.9,1,395.0,1112.0,,96.0,115.0,50.0,,10.1016/j.matlet.2016.03.133,,1
Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,CAST,C,500.0,,7.6,0,,421.0,,,189.0,5.0,,10.1007/s11661-005-0218-9,,0
Al2.8 Co1 Cr1 Cu1 Fe1,,,25.0,5.5,5.452203263,1,657.0,,,,138.8857398,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,1
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,,,25.0,7.4,7.391081495,0,,,,,192.0025671,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678,0
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,CAST,C,25.0,,5.9,2,,,1325.0,38.0,,,5.0,10.1016/j.matdes.2009.09.016,,2
Nb1 Ta1 Ti1 V1,POWDER,C,25.0,,9.2,1,510.9,1373.0,,,134.0,29.5,,10.1016/j.jallcom.2018.10.230,,1
