FORMULA,Process Method,Measurement Method,Measuremet T (Â°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Al1Co1Cr1Fe1Ni1Nb0.5,,C,25.0,6.955,6.952027529,BCC+Sec.,747.0,2470.0,,,174.2938714,4.1,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Si1,,C,25.0,5.7,5.651384641,BCC,,1110.0,,,150.9268735,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Si1,,C,25.0,5.7,5.651384641,BCC+Sec.,,2411.0,2950.0,,150.9268735,1.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Si1,VAM,C,23.0,,5.651384641,BCC+Sec.,,2411.0,2950.0,,150.9268735,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Si1,,C,25.0,5.655,5.651384641,BCC,,1110.0,,,150.9268735,1.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Si0.2,,C,25.0,6.5,6.45294893,BCC,,1265.0,2173.0,,175.9990498,14.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Si0.2,VAM,C,23.0,,6.45294893,BCC,,1265.0,2173.0,,175.9990498,13.8,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Si0.2,,C,25.0,6.455,6.45294893,BCC,,1260.0,,,175.9990498,14.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Si0.4,,C,25.0,6.2,6.218362268,BCC,,1481.0,2444.0,,168.6613999,13.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Si0.4,VAM,C,23.0,,6.218362268,BCC,,1481.0,2444.0,,168.6613999,13.4,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Si0.4,,C,25.0,6.215,6.218362268,BCC,,1480.0,,,168.6613999,13.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Si0.6,,C,25.0,6.0,6.009026544,BCC,,1834.0,2195.0,,162.1135755,3.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Si0.6,VAM,C,23.0,,6.009026544,BCC,,1834.0,2195.0,,162.1135755,2.56,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Si0.6,,C,25.0,6.005,6.009026544,BCC,,1830.0,,,162.1135755,3.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Si0.8,,C,25.0,5.8,5.821072957,BCC+Sec.,,2179.0,2664.0,,156.2345642,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Si0.8,VAM,C,23.0,,5.821072957,BCC+Sec.,,2179.0,2664.0,,156.2345642,1.77,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Si0.8,,C,25.0,5.825,5.821072957,BCC+Sec.,,2180.0,,,156.2345642,2.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Si1.0,,C,25.0,5.655,5.651384641,BCC+Sec.,,2410.0,,,150.9268735,1.17,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Ti1,,C,25.0,6.2,6.228043003,BCC,,1860.0,2580.0,181.0,169.2125674,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Ti1,,C,25.0,6.2,6.228043003,BCC+Sec.,,,2280.0,,169.2125674,6.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1Ti1,VAM,C,,,6.228043003,FCC+Sec.,,,,,169.2125674,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti1,VAM,C,23.0,,6.228043003,BCC,,1860.0,2580.0,,169.2125674,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1Ti1,,C,25.0,6.24,6.228043003,BCC,,1860.0,,119.0,169.2125674,9.0,,,Prof.Yeh-3dtransitional
