FORMULA,Process Method,Measurement Method,Measuremet T (Â°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Al1Co1Cr1Fe1Nb0.75Ni1,VAM,C,,,7.048389445,BCC+Laves,0.0,,,,170.1887752,,,,Paper_Collection_6_element
Al1Co1Cr1Fe1Ni1,,,25.0,6.7,6.717648579,BCC,484.0,,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,,,25.0,6.7,6.717648579,FCC+BCC,433.0,,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,,,25.0,6.7,6.717648579,BCC,395.0,,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,,C,25.0,6.7,6.717648579,BCC,,1251.0,2004.0,,184.2786056,33.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,,C,25.0,6.7,6.717648579,BCC,,1051.0,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,,C,25.0,6.7,6.717648579,BCC,,1110.0,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,,C,25.0,6.7,6.717648579,BCC,,1138.0,,194.0,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,,C,25.0,6.7,6.717648579,BCC,,1138.0,,194.0,184.2786056,11.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,,C,25.0,6.7,6.717648579,BCC,520.0,1373.0,3531.0,,184.2786056,25.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1Co1Cr1Fe1Ni1,VAM,C,23.0,,6.717648579,BCC,520 ± 11,1373.0,3531.0,,184.2786056,10.5,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,3D printing,C,,,6.717648579,Other+B2+L12,520 ± 15.4,,,,184.2786056,24.5,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,"3D printing + Aged, 1000℃/100h",C,,,6.717648579,Other+B2,499 ± 15,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,,,6.717648579,BCC, 484 ± 26,,,,184.2786056,32.7,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,"VAM + Homogenized, 1100℃/24h",C,,,6.717648579,FCC+BCC,433 ± 22,,,,184.2786056,24.5,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,"VAM + Anneal, 700℃/1000h",C,,,6.717648579,FCC+BCC+B2+Sec.,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,"VAM + Anneal, 1050℃/520h",C,,,6.717648579,FCC+BCC+B2,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,,,6.717648579,Other+B2,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,"VAM + Annealed, 1100℃/10min/WQ",C,,,6.717648579,FCC+B2,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,"VAM + Hot compression, 1100℃/50.34%/WQ",C,,,6.717648579,FCC+B2,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,23.0,,6.717648579,BCC,,1110.0,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,23.0,,6.717648579,BCC,,1051.0,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,23.0,,6.717648579,BCC,,1500.0,2830.0,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,,,6.717648579,BCC,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM + 1100℃/24h/WQ,C,,,6.717648579,FCC+BCC,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,,,6.717648579,BCC,395.0,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,Mechanical alloying,C,,,6.717648579,BCC,,,,,184.2786056,27.0,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,"Mechanical alloying + Spark plasma Sintering, 900℃/50MPa/10min",C,,,6.717648579,FCC+BCC,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,,,6.717648579,BCC,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,,,6.717648579,BCC,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,,,6.717648579,B2+L12,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VIM,C,,,6.717648579,B2+Sec.,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,-196.0,,6.717648579,BCC,,1880.0,3550.0,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,25.0,,6.717648579,BCC,,1450.0,2960.0,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,23.0,,6.717648579,BCC,,1451.0,3440.0,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,VAM,C,,,6.717648579,BCC+B2,,,,,184.2786056,,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1,,C,25.0,6.715,6.717648579,BCC,,1140.0,,125.0,184.2786056,14.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1,,C,25.0,6.715,6.717648579,BCC,520.0,1370.0,,,184.2786056,15.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1,,C,25.0,6.715,6.717648579,BCC,,1050.0,,,184.2786056,22.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1,,C,25.0,6.715,6.717648579,BCC,457.5,1150.0,,125.0,184.2786056,,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni2.1,VAM,C,23.0,,7.071582538,FCC+B2,,75.0,944.0,,186.820808,25.6,,,Paper_Collection_5_element
Al1Co1Cr1Fe1Ni1C0.1,,C,25.0,6.745,6.65591602,BCC+Sec.,,966.0,,213.0,,10.5,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1C0.2,,C,25.0,6.765,6.595873844,BCC+Sec.,,906.0,,151.0,,8.68,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1C0.3,,C,25.0,6.785,6.53745356,BCC+Sec.,,867.0,,137.0,,7.82,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1C0.4,,C,25.0,6.805,6.480590326,BCC+Sec.,,1060.0,,156.0,,6.67,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1C0.5,,C,25.0,6.835,6.425222712,BCC+Sec.,,1060.0,,181.0,,5.6,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1C1.0,,C,25.0,6.945,6.16888112,BCC+Sec.,,1250.0,,75.1,,7.04,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1C1.5,,C,25.0,7.045,5.942332936,BCC+Sec.,,1250.0,,72.5,,5.54,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Mo0.1,,C,25.0,6.805,6.803137068,BCC,,1800.0,,,187.8028973,9.1,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Mo0.2,,C,25.0,6.885,6.884560868,BCC+Sec.,,2460.0,,,191.1596208,3.4,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Mo0.3,,C,25.0,6.965,6.962203139,BCC+Sec.,,2650.0,,,194.3604496,3.3,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Mo0.4,,C,25.0,7.035,7.036321339,BCC+Sec.,,2670.0,,,197.4159973,3.0,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Mo0.5,,C,25.0,7.105,7.107150073,BCC+Sec.,,2760.0,,,200.3359357,2.5,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Nb0.1,,C,25.0,6.775,6.769776572,BCC,569.0,1640.0,,,182.0579107,17.2,,,Prof.Yeh-3dtransitional
Al1Co1Cr1Fe1Ni1Nb0.25,,C,25.0,6.845,6.84271371,BCC+Sec.,668.0,1960.0,,,178.9507291,10.5,,,Prof.Yeh-3dtransitional
