FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.25 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5 V1,CAST,,25.0,,7.2,BCC,587.0,,,,171.0,,,10.1007/s11661-006-0081-3,
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,CAST,,25.0,,7.4,FCC,,,,,192.0,,,10.1016/j.jallcom.2008.11.059,
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,CAST,C,25.0,,7.5,FCC,,750.0,1970.0,103.0,189.0,,39.0,10.1016/j.jallcom.2008.11.059,
Al0.25 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,CAST,C,25.0,,7.1,BCC,,1465.0,2016.0,190.0,174.0,2.0,,10.1016/j.msea.2006.11.049,
Al0.25 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.7,FCC,110.0,,,,213.0,,,10.1016/j.jallcom.2009.08.090,
Al0.25 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.7,FCC,113.0,,,,213.0,,,10.1016/j.jallcom.2009.08.090,
Al0.25 Co1 Fe1 Ni1,CAST,C,25.0,,7.9,FCC,138.0,158.0,,,192.0,,,10.1016/j.jmmm.2014.07.023,
Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,,,25.0,7.4,7.391081495,FCC,,,,,192.0025671,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,C,25.0,7.5,7.458566983,FCC,,750.0,1970.0,195.0,189.296876,39.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,,C,25.0,7.455,7.458566983,FCC,,750.0,,102.5,189.296876,38.5,,,Prof.Yeh-3dtransitional
Al0.25 Co1 Cr1 Fe1 Ni1,,,25.0,7.7,7.719849722,FCC,110.0,,,,212.7722739,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Cr1 Fe1 Ni1,,,25.0,7.7,7.719849722,FCC,113.0,,,,212.7722739,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Fe1 Ni1,,C,25.0,7.9,7.886957534,FCC,138.0,158.0,,,191.8170678,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Co1 Fe1 Ni1,,C,25.0,7.885,7.886957534,FCC,137.5,160.5,,,191.8170678,,,,Prof.Yeh-3dtransitional
Al0.25 Cr0.417 Fe0.417 Ni1,CAST,T,25.0,,7.3,FCC,,441.0,757.0,,196.0,45.0,,10.1016/j.jallcom.2018.08.176,
Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,CAST,C,25.0,,5.8,BCC,,1240.0,,,134.0,,,10.1016/j.matlet.2016.11.030,
Al0.25 Cr1 Cu1 Fe1 Ni2,,C,,,7.96333292,FCC,,,,,195.3236324,,,,Paper_Collection_5_element
Al0.25 Mo1 Nb1 Ti1 V1,CAST,C,25.0,,7.1,BCC,460.0,1250.0,1500.0,,161.0,13.0,,10.3390/e16020870,
Al0.25 Mo1 Nb1 Ti1 V1,,C,25.0,7.1,7.065041148,BCC,460.0,1250.0,,,160.7240221,13.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Mo1 Nb1 Ti1 V1,CAST,C,25.0,7.1,7.065041148,BCC,460.0,1250.0,,164.0,160.7240221,13.0,12.0,,Prof.Yeh-RHEA
Al0.25 Nb1 Ta1 Ti1 V1,CAST,C,25.0,,8.8,BCC,,1330.0,,,130.0,,,10.1016/j.proeng.2012.03.043,
Al0.25 Nb1 Ta1 Ti1 V1,,C,25.0,8.8,8.794810956,BCC,,1330.0,,130.0,130.4925823,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Nb1 Ta1 Ti1 V1,CAST,C,25.0,8.8,8.794810956,BCC,,1330.0,,92.0,130.4925823,50.0,50.0,,Prof.Yeh-RHEA
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,CAST,,25.0,,7.2,BCC,597.0,,,,172.0,,,10.1007/s11661-006-0081-3,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,23.0,,7.4,FCC,,520.0,696.0,,,,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,600.0,,7.4,FCC,,470.0,561.0,,,,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,700.0,,7.4,FCC,,461.0,560.0,,,12.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,800.0,,7.4,FCC,,445.0,536.0,,,20.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,900.0,,7.4,FCC,,219.0,312.0,,,18.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,23.0,,7.4,FCC,,627.0,1197.0,,,11.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,600.0,,7.4,FCC,,594.0,1006.0,,185.0,49.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,700.0,,7.4,FCC,,547.0,840.0,,185.0,11.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,800.0,,7.4,FCC,,399.0,575.0,,185.0,9.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,900.0,,7.4,FCC,,243.0,319.0,,185.0,6.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,CAST,,,,7.4,,343.0,,,,185.0,8.0,,10.1007/s11837-015-1484-7,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,,,,7.4,,341.0,,,,185.0,27.0,,10.1007/s11837-015-1484-7,
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,WROUGHT,T,25.0,,7.2,FCC,,320.0,625.0,,195.0,42.2,42.45,10.1016/j.msea.2019.05.056,
Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,WROUGHT,T,25.0,,7.2,FCC,,1400.0,1500.0,,195.0,5.83,7.85,10.1016/j.msea.2019.05.056,
Al0.2 Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,,,25.0,7.6,7.551427889,FCC,487.0,,,,200.778353,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,CAST,T,25.0,,7.7,FCC,171.0,220.0,,,212.0,56.0,,10.1016/j.actamat.2013.09.037,
Al0.2 Cr0.5 Cu0.5 Fe0.5 Ni1,,,25.0,,7.8,FCC,,,,,190.0,,,10.1063/1.3587228,
Al0.2 Cr1 Cu1 Fe1 Ni2,,,25.0,8.0,8.035241948,FCC,,,,,197.0352363,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.2 Mo1 Ta1 Ti1 V1,CAST,C,25.0,,9.3,BCC,,1021.0,1249.0,,183.0,,,10.4028/www.scientific.net/MSF.898.638,
Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,,,,7.6,FCC,,,,,,48.0,,10.1016/j.scriptamat.2016.06.019,
Al0.304 Co1 Cr1 Fe1 Ni1,CAST,C,25.0,,7.6,FCC,,,,,210.0,87.0,,10.1016/j.msea.2015.02.072,
Al0.304 Co1 Cr1 Fe1 Ni1,,T,25.0,,7.6,FCC,,260.0,620.0,,,,,10.1016/j.matlet.2017.04.072,
Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,FCC,,159.0,410.0,,,43.0,,10.1016/j.matdes.2017.02.072,
Al0.304 Co1 Cr1 Fe1 Ni1,WROUGHT,T,25.0,,7.6,FCC,,263.0,589.0,,,45.0,,10.1016/j.matdes.2017.02.072,
Al0.304 Co1 Cr1 Fe1 Ni1,ANNEAL,,,,7.6,FCC,,,,,,44.0,,10.1016/j.jallcom.2013.11.084,
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,CAST,C,25.0,1.52,1.4,,,360.0,,,,9.0,,10.3390/ma12071136,
Al0.312 Co0.625 Cr0.625 Cu0.625 Fe0.625 Ni0.625 V1,CAST,,25.0,,7.2,BCC,594.0,,,,174.0,,,10.1007/s11661-006-0081-3,
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,CAST,C,25.0,1.5,1.4,,,342.0,,,,44.0,,10.3390/ma12071136,
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,CAST,C,25.0,1.46,1.4,,,300.0,,,,63.0,,10.3390/ma12071136,
Al0.333 Co0.333 Cu0.333 Fe0.333 Ni1,CAST,C,25.0,,7.5,FCC,279.6,268.0,,,167.0,,,10.1016/j.jmst.2018.12.014,
Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,CAST,,25.0,,7.0,BCC,396.0,,,,201.0,,,10.1016/j.msea.2010.05.052,
Al0.335 Hf0.055 Nb0.195 Ti0.1 V0.315,CAST,C,25.0,5.64,5.847325423,Other,,702.0,,,98.4020848,1.0,1.0,,Prof.Yeh-RHEA
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,CAST,T,650.0,,7.2,,,400.0,468.0,,,6.3,,10.1016/j.scriptamat.2016.04.014,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,CAST,T,700.0,,7.2,,,220.0,340.0,,,5.4,,10.1016/j.scriptamat.2016.04.014,
Al0.343 Co0.514 Cr0.514 Fe1 Ni0.514,CAST,C,25.0,,7.2,,,1166.0,,,,30.2,,10.1016/j.scriptamat.2016.04.014,
Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,CAST,,25.0,,7.3,BCC,577.0,,,,175.0,,,10.1007/s11661-006-0081-3,
Al0.375 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.5,FCC,131.0,,,,207.0,,,10.1016/j.jallcom.2009.08.090,
Al0.375 Co1 Cr1 Fe1 Ni1,ANNEAL,,25.0,,7.5,FCC,196.0,,,,207.0,,,10.1016/j.jallcom.2009.08.090,
Al0.375 Co1 Cr1 Fe1 Ni1,,,25.0,7.5,7.519494797,FCC,131.0,,,,207.0759655,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.375 Co1 Cr1 Fe1 Ni1,,,25.0,7.5,7.519494797,FCC,196.0,,,,207.0759655,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,CAST,T,25.0,,7.5,FCC,182.0,244.0,,,205.0,45.0,,10.1016/j.actamat.2013.09.037,
