FORMULA,Process Method,Measurement Method,Measuremet T (?°C),Structure: Exp Density (g/cm^3),Structure: Calculated Density (g/cm^3),Structure: Microstructure,Mechanics: Hardness (HV),Mechanics: Yield strength (MPa),Mechanics: Ultra tensle strength (MPa),Mechanics: Exp Young modulus (GPa),Mechanics: Calculated Young modulus (GPa),Mechanics: Fracture Elongation (%),Mechanics: Plastic Elongation (%),Others: DOI,Others: Reference
Co1Cr0.25Ni1,WROUGHT,T,25,,8.7,FCC,,387,626,223,213,73,,10.1016/j.actamat.2019.04.017,
Co1Cr0.25Ni1,WROUGHT,T,25,,8.7,FCC,,330,553,223,213,101,,10.1016/j.actamat.2019.04.017,
Co1Cr0.2Fe1Ni1Si0.2,CAST,T,25,,7.8,FCC,130.1,225,732,,195,61,,10.1016/j.jmmm.2019.01.096,
Co1Cr0.2Fe1Ni1Si0.2,WROUGHT,T,25,,7.8,FCC,318.2,705,1070,,195,10,,10.1016/j.jmmm.2019.01.096,
Co1Cr0.2Fe1Ni1Si0.2,WROUGHT,T,25,,7.8,FCC,153.8,320,920,,195,60,,10.1016/j.jmmm.2019.01.096,
Co1Cr0.385Fe0.154Ni0.154,WROUGHT,T,25,,8.4,FCC+HCP,,482,857,,,13.3,,10.1080/21663831.2018.1553803,
Co1Cr0.429Fe0.571Mo0.286Ni0.571,CAST,T,25,,8.6,FCC,,350,720,,234,21.9,,10.1016/j.scriptamat.2017.05.019,
Co1Cr0.429Fe0.571Mo0.286Ni0.571,WROUGHT,T,25,,8.6,FCC+Sec.,,1311,1410,,,12.1,,10.1016/j.scriptamat.2017.05.019,
Co1Cr0.429Fe0.571Mo0.286Ni0.571,WROUGHT,T,25,,8.6,FCC+Sec.,,1212,1360,,,14.9,,10.1016/j.scriptamat.2017.05.019,
Co1Cr0.429Fe0.571Mo0.286Ni0.571,WROUGHT,T,25,,8.6,FCC+Sec.,,1028,1249,,,18.3,,10.1016/j.scriptamat.2017.05.019,
Co1Cr0.429Fe0.571Mo0.286Ni0.571,WROUGHT,T,25,,8.6,FCC+Sec.,,879,1194,,,25.4,,10.1016/j.scriptamat.2017.05.019,
Co1Cr0.429Fe0.571Mo0.286Ni0.571,WROUGHT,T,25,,8.6,FCC+Sec.,,799,1127,,,28.2,,10.1016/j.scriptamat.2017.05.019,
Co1Cr0.429Fe0.571Mo0.286Ni0.571,WROUGHT,T,25,,8.6,FCC,,350,918,,234,62.4,,10.1016/j.scriptamat.2017.05.019,
Co1Cr0.455Fe0.364Ni0.364,WROUGHT,T,25,,8.3,FCC+HCP,,392,746,,,20.3,,10.1080/21663831.2018.1553803,
Co1Cr0.487Nb0.231Ta0.026Ti0.821,CAST,,25,,6.9,,856,,,,,,,10.1038/s41467-019-10533-1,
Co1Cr0.556Fe0.667Ni0.667,WROUGHT,T,25,,8.3,FCC,,299,841,,222,76.1,,10.1080/21663831.2018.1553803,
Co1Cr0.588Fe0.176Mo0.176Ni1,WROUGHT,T,25,,8.6,FCC,,,,,231,8,,10.1016/j.ijplas.2018.10.005,
Co1Cr0.588Fe0.176Mo0.176Ni1,WROUGHT,T,25,,8.6,FCC,,,,,231,14,,10.1016/j.ijplas.2018.10.005,
Co1Cr0.588Fe0.176Mo0.176Ni1,WROUGHT,T,25,,8.6,FCC,,1100,1300,,231,32,,10.1016/j.ijplas.2018.10.005,
Co1Cr0.588Fe0.176Mo0.176Ni1,WROUGHT,T,25,,8.6,FCC,,950,,,231,36,,10.1016/j.ijplas.2018.10.005,
Co1Cr0.588Fe0.176Mo0.176Ni1,WROUGHT,T,25,,8.6,FCC,,649,,,231,42,,10.1016/j.ijplas.2018.10.005,
Co1Cr0.588Fe0.176Mo0.176Ni1,WROUGHT,T,25,,8.6,FCC,,439,,,231,63,,10.1016/j.ijplas.2018.10.005,
Co1Cr0.588Fe0.176Mo0.176Ni1,WROUGHT,T,25,,8.6,FCC,,309,,,231,82,,10.1016/j.ijplas.2018.10.005,
Co1Cr0.667Fe0.667Ni1Ti0.333,ANNEAL,,25,,7.8,FCC,509,,,,,,,10.1016/j.actamat.2011.06.041,
Co1Cr0.667Fe0.667Ni1Ti0.667,ANNEAL,,25,,7.4,FCC+Sec.,654,,,,,,,10.1016/j.actamat.2011.06.041,
Co1Cr0.917Ni1Ta0.5Ti0.75,CAST,,25,,8.8,,1011,,,,,,,10.1038/s41467-019-10533-1,
Co1Cr1Cu0.5Fe1Ni1,CAST,,25,,8.3,FCC,172,,,,215,,,10.1016/j.intermet.2010.03.030,
Co1Cr1Cu1Fe1,,,25,,8.2,FCC,134,,,,208,,,10.3166/acsm.31.633-648,
Co1Cr1Cu1Fe1Mn1Ni1Ti1V1,CAST,C,25,,7.3,FCC+BCC+Sec.,,1312,1312,74,,1,,10.1016/j.msea.2006.11.049,
Co1Cr1Cu1Fe1Ni1,CAST,,,,8.3,FCC+B2,160,,,,206,,,10.1016/j.vacuum.2018.12.009,
Co1Cr1Cu1Fe1Ni1,,C,25,,8.3,FCC,286,230,888,,206,51,,10.1016/j.msea.2011.11.063,
Co1Cr1Cu1Fe1Ni1,CAST,,25,,8.3,FCC,286,,,,,,,10.1016/j.jallcom.2008.07.124,
Co1Cr1Cu1Fe1Ni1,CAST,C,25,,8.3,FCC,,300,,,206,50.2,,10.1007/s11665-018-3837-1,
Co1Cr1Cu1Fe1Ni1Ti0.5,CAST,C,25,,7.8,FCC,,700,1650,93,194,,29,10.1016/j.jallcom.2008.11.059,
Co1Cr1Cu1Fe1Ni1Ti0.5,CAST,C,25,,7.8,FCC,,700,1650,,194,22,21.6,10.1016/j.intermet.2006.08.005,
Co1Cr1Cu1Fe1Ni1Ti0.8,CAST,C,25,,7.6,FCC+Sec.,,1042,1848,,,3,2.11,10.1016/j.intermet.2006.08.005,
Co1Cr1Cu1Fe1Ni1Ti1,CAST,C,25,,7.4,FCC,,1272,1272,,185,2,0,10.1016/j.intermet.2006.08.005,
Co1Cr1Cu1Fe1Ni1Ti1V1Zr1,CAST,,25,,7.1,,680,,,,,,,10.1002/adem.200300567,
Co1Cr1Cu1Fe1Ni1V0.042,CAST,C,25,,8.3,FCC+Sec.,,303,,,,50.2,,10.1007/s11665-018-3837-1,
Co1Cr1Cu1Fe1Ni1V0.087,CAST,C,25,,8.3,FCC+Sec.,,307,,,,50.2,,10.1007/s11665-018-3837-1,
Co1Cr1Cu1Fe1Ni1V0.136,CAST,C,25,,8.3,FCC+Sec.,,330,,,,50.2,,10.1007/s11665-018-3837-1,
Co1Cr1Cu1Fe1Ni1V0.19,CAST,C,25,,8.2,FCC+Sec.,,616,,,,28,,10.1007/s11665-018-3837-1,
Co1Cr1Cu1Ni1Zn1,POWDER,C,25,5.26,8.1,BCC+FCC,,,,,,,,10.3390/e21020122,
Co1Cr1Cu1Ni1Zn1,POWDER,C,25,6.26,8.1,BCC+FCC,,,,,,,,10.3390/e21020122,
Co1Cr1Cu1Ni1Zn1,POWDER,C,25,7.84,8.1,BCC+FCC,,,,,,,,10.3390/e21020122,
Co1Cr1Cu1Ni1Zn1,POWDER,C,25,7.89,8.1,FCC+FCC,615,2121,,,,,,10.3390/e21020122,
Co1Cr1Fe1Ga1Ni1,CAST,,,,7.5,FCC+BCC,,,,,,,,10.1007/s10853-018-03196-8,
Co1Cr1Fe1Mn0.2Ni1Pd1,CAST,C,25,,9.1,FCC+Sec.,470,650,,,,50,,10.3390/e21030288,
Co1Cr1Fe1Mn0.4Ni1Pd1,CAST,C,25,,9.1,FCC+Sec.,380,650,,,,46,,10.3390/e21030288,
Co1Cr1Fe1Mn0.6Ni1Pd1,CAST,C,25,,9,FCC+Sec.,180,650,,,,42,,10.3390/e21030288,
Co1Cr1Fe1Mn0.8Ni1Pd1,CAST,C,25,,8.9,FCC+Sec.,160,650,,,,35,,10.3390/e21030288,
Co1Cr1Fe1Mn1,,C,25,,7.8,,,338,,,,4.3,,10.1016/j.intermet.2016.09.003,
Co1Cr1Fe1Mn1Mo0.042Ni1,CAST,C,25,,8.1,FCC,,225,,,221,,,10.1016/j.jmst.2018.10.009,
Co1Cr1Fe1Mn1Mo0.087Ni1,CAST,C,25,,8.1,FCC+Sec.,,330,,,,,,10.1016/j.jmst.2018.10.009,
Co1Cr1Fe1Mn1Mo0.136Ni1,CAST,C,25,,8.1,FCC+Sec.,,560,,,,,,10.1016/j.jmst.2018.10.009,
Co1Cr1Fe1Mn1Mo0.19Ni1,CAST,C,25,,8.1,FCC+Sec.,,765,,,,,,10.1016/j.jmst.2018.10.009,
Co1Cr1Fe1Mn1Ni1,,,,,8,FCC+BCC,,,,,220,62,,10.4028/www.scientific.net/MSF.846.13,
Co1Cr1Fe1Mn1Ni1,,,,,8,,,,,202.2,220,,,10.1557/adv.2017.76,
Co1Cr1Fe1Mn1Ni1,ANNEAL,C,25,,8,FCC,,230,,,220,,75,10.1134/S0031918X17060084,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,243,558,,220,56,,10.1080/02670836.2017.1342367,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,249,621,,220,50,,10.1080/02670836.2017.1342367,
Co1Cr1Fe1Mn1Ni1,POWDER,C,25,7.753,8,FCC,435,1100,,,220,41,,10.1080/00325899.2018.1554834,
Co1Cr1Fe1Mn1Ni1,CAST,C,25,,8,FCC,130.2,210,,,220,75,,10.1016/j.scriptamat.2018.11.042,
Co1Cr1Fe1Mn1Ni1,WROUGHT,C,25,,8,FCC,394.1,1150,,,220,1.1,,10.1016/j.scriptamat.2018.11.042,
Co1Cr1Fe1Mn1Ni1,WROUGHT,C,25,,8,FCC,430.7,1300,,,220,10.3,,10.1016/j.scriptamat.2018.11.042,
Co1Cr1Fe1Mn1Ni1,CAST,T,25,,8,FCC,,210,,,220,57,,10.1016/j.msea.2019.04.025,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1150,,,220,6,,10.1016/j.msea.2019.04.025,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1300,,,220,0.7,,10.1016/j.msea.2019.04.025,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1050,,,220,52,,10.1016/j.msea.2019.04.025,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,560,,,220,39.5,,10.1016/j.msea.2019.04.025,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,520,,,,,20.3,10.1016/j.msea.2019.04.025,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,320,,,220,,,10.1016/j.msea.2019.04.025,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,280,,,220,54,,10.1016/j.msea.2019.04.025,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,378.7,700,,220,57.5,,10.1016/j.msea.2019.01.050,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1120,,,,,,10.1016/j.msea.2018.10.094,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,-196,,8,FCC,,1692,,,,,,10.1016/j.msea.2018.10.094,
Co1Cr1Fe1Mn1Ni1,CAST,C,25,,8,FCC,,216,,,220,63,,10.1016/j.jmst.2018.10.009,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,300,676,,220,57,,10.1016/j.jmst.2018.09.068,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,800,888,,220,6,,10.1016/j.jmst.2018.09.068,
Co1Cr1Fe1Mn1Ni1,POWDER,T,25,7.5,8,Other,410.9,,,184,220,2,,10.1016/j.jallcom.2019.07.195,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,353,635,,220,8,,10.1016/j.jallcom.2019.04.121,
Co1Cr1Fe1Mn1Ni1,ANNEAL,,,,8,FCC,,,,,220,49,,10.1016/j.jallcom.2018.11.181,
Co1Cr1Fe1Mn1Ni1,POWDER,,,,8,FCC,,,,,220,47,,10.1016/j.jallcom.2018.11.181,
Co1Cr1Fe1Mn1Ni1,POWDER,,,,8,FCC,,,,,220,59,,10.1016/j.jallcom.2018.11.181,
Co1Cr1Fe1Mn1Ni1,CAST,C,25,,8,FCC+BCC,415,1314,,,220,62,,10.1016/j.jallcom.2018.10.168,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,386.2,666,,220,,,10.1016/j.jallcom.2018.08.115,
Co1Cr1Fe1Mn1Ni1,CAST,C,25,,8,FCC,144,,,,220,,,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1,ANNEAL,C,25,,8,FCC,135,230,,,220,,,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,7.753,8,FCC,,293.1,626,,,,,10.1016/j.intermet.2019.106486,
Co1Cr1Fe1Mn1Ni1,,,,,8,,,,,202,220,,43,10.1016/j.intermet.2014.11.005,
Co1Cr1Fe1Mn1Ni1,CAST,T,25,,8,FCC,176,208,,,220,4.37,,10.1016/j.actamat.2013.09.037,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,370,670,,220,1.16,,10.1016/j.actamat.2013.06.018,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1199.26,1335,,220,1.58,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1269.23,1366,,220,3.15,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1371.21,1403,,220,4.31,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1362.74,1471,,220,19.01,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,1241.81,1325,,220,26.3,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,930.3,1021,,220,38.7,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,729.21,902,,220,42.55,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,494.82,736,,220,43.15,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,366.88,673,,220,45.05,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,290.65,619,,,,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1,WROUGHT,T,25,,8,FCC,,258.76,599,,,47,,10.1007/s11661-019-05231-y,
Co1Cr1Fe1Mn1Ni1Ta0.2,,,,,8.5,FCC+BCC,200,,,,,,,10.4028/www.scientific.net/MSF.846.13,
Co1Cr1Fe1Mn1Ni1Ta0.4,,,,,9,FCC+BCC,290,,,,,,,10.4028/www.scientific.net/MSF.846.13,
Co1Cr1Fe1Mn1Ni1Ta0.6,,,,,9.4,FCC+BCC,345,,,,,,,10.4028/www.scientific.net/MSF.846.13,
Co1Cr1Fe1Mn1Ni1V0.25,CAST,C,25,,7.9,FCC,151,,,,215,,,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1V0.25,ANNEAL,C,25,,7.9,FCC+Sec.,144,200,,,,,75,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1V0.263,ANNEAL,C,25,,7.9,FCC+Sec.,,200,,,,75,,10.1134/S0031918X17060084,
Co1Cr1Fe1Mn1Ni1V0.5,ANNEAL,C,25,,7.8,FCC+Sec.,,620,,,210,,,10.1134/S0031918X17060084,
Co1Cr1Fe1Mn1Ni1V0.5,CAST,C,25,,7.8,FCC,186,,,,210,,75,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1V0.5,ANNEAL,C,25,,7.8,FCC,275,620,,,,75,,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1V0.75,ANNEAL,C,25,,7.7,FCC+Sec.,380,740,1325,,,,7.8,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1V0.75,CAST,C,25,,7.7,FCC+Sec.,342,,,,,,,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1V0.765,ANNEAL,C,25,,7.7,FCC+Sec.,,780,,,,8,,10.1134/S0031918X17060084,
Co1Cr1Fe1Mn1Ni1V1,ANNEAL,C,25,,7.7,FCC+Sec.,,1700,,,,,0.5,10.1134/S0031918X17060084,
Co1Cr1Fe1Mn1Ni1V1,ANNEAL,C,25,,7.7,FCC+Sec.,636,1660,1845,,,,,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mn1Ni1V1,CAST,C,25,,7.7,FCC+Sec.,650,,,,,1,,10.1016/j.jallcom.2014.12.157,
Co1Cr1Fe1Mo0.083Ni1,CAST,T,25,,8.2,,,198.8,479,,,51.1,,10.1016/j.actamat.2016.06.063,
Co1Cr1Fe1Mo0.149Ni1,POWDER,,,,8.3,FCC+Sec.,210,,,,,,,10.3390/met9030351,
Co1Cr1Fe1Mo0.15Ni1,CAST,T,25,,8.3,FCC,,489,895,,231,,53.6,10.1016/j.msea.2019.05.078,
Co1Cr1Fe1Mo0.15Ni1,WROUGHT,T,25,,8.3,,,873,,,,,23.4,10.1016/j.msea.2019.05.078,
Co1Cr1Fe1Mo0.15Ni1,WROUGHT,T,25,,8.3,,,952,1122,,,,14.2,10.1016/j.msea.2019.05.078,
Co1Cr1Fe1Mo0.15Ni1,WROUGHT,T,25,,8.3,FCC,,1136,1245,,231,,8.7,10.1016/j.msea.2019.05.078,
Co1Cr1Fe1Mo0.15Ni1,WROUGHT,T,25,,8.3,FCC,,1301,1493,,231,,7.2,10.1016/j.msea.2019.05.078,
Co1Cr1Fe1Mo0.15Ni1,WROUGHT,T,25,,8.3,,,1311,1421,,,,5.9,10.1016/j.msea.2019.05.078,
Co1Cr1Fe1Mo0.15Ni1,WROUGHT,T,25,,8.3,,,1273,1458,,,,5.5,10.1016/j.msea.2019.05.078,
Co1Cr1Fe1Mo0.208Ni1,CAST,T,25,,8.3,,,254.7,590,,,55.1,,10.1016/j.actamat.2016.06.063,
Co1Cr1Fe1Mo0.2Ni1,CAST,T,25,,8.3,FCC,,400,780,,232,53,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,838,,232,43,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,899,,232,31,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,902,,232,29,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,811,,232,52,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,790,,232,49,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,799,,232,47,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,802,,232,37,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,823,,232,36,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,849,,232,34,,10.3390/e21050448,
Co1Cr1Fe1Mo0.2Ni1,ANNEAL,T,25,,8.3,FCC,,,895,,232,32,,10.3390/e21050448,
Co1Cr1Fe1Mo0.304Ni1,CAST,T,25,,8.4,FCC+Sec.,,305.3,710,,,49.3,,10.1016/j.actamat.2016.06.063,
Co1Cr1Fe1Mo0.304Ni1,WROUGHT,T,25,,8.4,FCC+Sec.,,815.5,1186,,,18.9,,10.1016/j.actamat.2016.06.063,
Co1Cr1Fe1Mo0.304Ni1,WROUGHT,T,25,,8.4,FCC+Sec.,,646.7,1042,,,32.5,,10.1016/j.actamat.2016.06.063,
Co1Cr1Fe1Mo0.304Ni1,WROUGHT,T,25,,8.4,FCC+Sec.,,683.7,1067,,,30.4,,10.1016/j.actamat.2016.06.063,
Co1Cr1Fe1Mo0.5Ni1,CAST,,25,,8.5,FCC+Sec.,210,,,,,,,10.1007/s11837-013-0753-6,
Co1Cr1Fe1Mo1Ni1Ti1V1Zr1,CAST,,25,,7.3,,850,,,,,,,10.1002/adem.200300567,
Co1Cr1Fe1Nb0.103Ni1,CAST,T,25,,8.2,FCC+Sec.,,318,622,,,19,,10.1016/j.intermet.2015.01.004,
Co1Cr1Fe1Nb0.155Ni1,CAST,T,25,,8.2,FCC+Sec.,,322,744,,,23,,10.1016/j.intermet.2015.01.004,
Co1Cr1Fe1Nb0.206Ni1,CAST,T,25,,8.2,FCC+Sec.,,403,807,,,9,,10.1016/j.intermet.2015.01.004,
Co1Cr1Fe1Nb0.309Ni1,CAST,T,25,,8.2,FCC+Sec.,,479,879,,,4,,10.1016/j.intermet.2015.01.004,
Co1Cr1Fe1Nb0.412Ni1,CAST,T,25,,8.2,FCC+Sec.,,638,1004,,,1,,10.1016/j.intermet.2015.01.004,
Co1Cr1Fe1Ni1,POWDER,,,,8.2,FCC,,,,,226,39,,10.3390/coatings9010016,
Co1Cr1Fe1Ni1,,,,,8.2,,,,,204,226,48,,10.1016/j.msea.2016.05.082,
Co1Cr1Fe1Ni1,CAST,,,,8.2,FCC,94.7,,,,226,,,10.1016/j.matdes.2019.107698,
Co1Cr1Fe1Ni1,CAST,C,25,,8.2,FCC,,,,,226,,,10.1016/j.jallcom.2013.12.210,
Co1Cr1Fe1Ni1,ANNEAL,,25,,8.2,FCC,116,,,,226,58.9,,10.1016/j.jallcom.2009.08.090,
Co1Cr1Fe1Ni1,ANNEAL,,25,,8.2,FCC,113,,,,226,70,,10.1016/j.jallcom.2009.08.090,
Co1Cr1Fe1Ni1,CAST,C,25,,8.2,FCC,168.9,163,,,226,83,,10.1016/j.intermet.2019.106550,
Co1Cr1Fe1Ni1,CAST,T,25,,8.2,FCC,,148,413,,226,63,,10.1016/j.intermet.2015.01.004,
Co1Cr1Fe1Ni1,,,,,8.2,FCC,,,,,226,72,,10.1016/j.intermet.2012.03.005,
Co1Cr1Fe1Ni1,WROUGHT,T,25,,8.2,FCC,,631,732,210,226,78,,10.1016/j.actamat.2019.04.017,
Co1Cr1Fe1Ni1,WROUGHT,T,25,,8.2,FCC,,494,732,210,226,68.6,,10.1016/j.actamat.2019.04.017,
Co1Cr1Fe1Ni1,WROUGHT,T,25,,8.2,FCC,,448,672,210,226,62,,10.1016/j.actamat.2019.04.017,
Co1Cr1Fe1Ni1,WROUGHT,T,25,,8.2,FCC,,273,567,210,226,61.6,,10.1016/j.actamat.2019.04.017,
Co1Cr1Fe1Ni1,WROUGHT,T,25,,8.2,FCC,,172,504,210,226,,,10.1016/j.actamat.2019.04.017,
Co1Cr1Fe1Ni1,CAST,T,25,,8.2,FCC,,155,472,,,,,10.1016/j.actamat.2016.06.063,
Co1Cr1Fe1Ni1,ANNEAL,T,25,,8.2,FCC,,190,453,,226,39,,10.1016/j.actamat.2015.08.076,
Co1Cr1Fe1Ni1,WROUGHT,T,25,,8.2,FCC,,274,708,,226,51,,10.1016/j.actamat.2014.08.026,
Co1Cr1Fe1Ni1,WROUGHT,T,20,,8.2,FCC,,446,664,189,226,65,,10.1007/s40843-018-9373-y,
Co1Cr1Fe1Ni1,WROUGHT,T,-73,,8.2,FCC,,488,790,194,226,85,,10.1007/s40843-018-9373-y,
Co1Cr1Fe1Ni1,WROUGHT,T,-196,,8.2,FCC,,590,1070,204,226,105,,10.1007/s40843-018-9373-y,
Co1Cr1Fe1Ni1,WROUGHT,T,-223,,8.2,FCC,,,1152,,226,80,,10.1007/s40843-018-9373-y,
Co1Cr1Fe1Ni1,WROUGHT,T,-253,,8.2,FCC,,,1240,,226,,,10.1007/s40843-018-9373-y,
Co1Cr1Fe1Ni1,WROUGHT,T,-269,,8.2,FCC,,680,1251,221,226,,,10.1007/s40843-018-9373-y,
Co1Cr1Fe1Ni1Pd1,CAST,,,,9.2,FCC,295,,,,201,,,10.3390/e21030288,
Co1Cr1Fe1Ni1Ti0.2,WROUGHT,T,25,,7.9,FCC,,700,1240,,218,36,,10.1016/j.actamat.2018.11.049,
Co1Cr1Fe1Ni1Ti0.2,WROUGHT,T,-196,,7.9,FCC,,860,1580,,218,46,,10.1016/j.actamat.2018.11.049,
Co1Cr1Fe1Ni1Ti0.3,WROUGHT,T,25,,7.8,FCC,263,540,772,,214,60,,10.1016/j.msea.2019.138181,
Co1Cr1Fe1Ni1Ti0.3,WROUGHT,,,,7.8,FCC,185,,,,214,,,10.1016/j.msea.2019.138181,
Co1Cr1Fe1Ni1Ti1,CAST,C,25,,7.2,FCC,,,2020,135,195,,9,10.1016/j.msea.2008.12.053,
Co1Cr1Fe1Ni1W0.2,CAST,C,25,,8.9,FCC,244,335,,,238,52,,10.1016/j.intermet.2019.106550,
Co1Cr1Fe1Ni1W0.5,CAST,C,25,,9.8,FCC+Sec.,357.9,556,,,,35.6,,10.1016/j.intermet.2019.106550,
Co1Cr1Mn1Ni1,WROUGHT,T,25,,8.1,FCC,,282,694,,222,44,,10.1016/j.actamat.2014.08.026,
Co1Cr1Mo1Nb1,CAST,C,25,,8.8,BCC+Laves,,,1420,,,,,10.1007/s11665-017-2799-z,
Co1Cr1Mo1Nb1Ti0.2,CAST,C,25,,8.5,BCC+Laves,,,1906,,,,,10.1007/s11665-017-2799-z,
Co1Cr1Mo1Nb1Ti0.4,CAST,C,25,,8.3,BCC,,,1771,,212,,,10.1007/s11665-017-2799-z,
Co1Cr1Mo1Nb1Ti0.5,CAST,C,25,,8.2,BCC+Laves,,,1609,,,,,10.1007/s11665-017-2799-z,
Co1Cr1Mo1Nb1Ti1,CAST,C,25,,7.8,BCC+Laves,,,1097,,,,,10.1007/s11665-017-2799-z,
Co1Cr1Ni1,,,,,8.3,,,,,222,231,60,,10.1016/j.msea.2017.06.086,
Co1Cr1Ni1,,,,,8.3,,,,,234,231,23,,10.1016/j.msea.2017.04.003,
Co1Cr1Ni1,ANNEAL,T,-196,,8.3,,,600,1247,,231,53,,10.1016/j.jmst.2018.12.002,
Co1Cr1Ni1,ANNEAL,T,24,,8.3,,,400,800,,231,76,,10.1016/j.jmst.2018.12.002,
Co1Cr1Ni1,ANNEAL,T,-196,,8.3,,,1215,1440,,,,,10.1016/j.jmst.2018.12.002,
Co1Cr1Ni1,WROUGHT,T,25,,8.3,FCC,468,1100,,,,,,10.1016/j.actamat.2018.12.015,
Co1Cr1Ni1,WROUGHT,T,25,,8.3,FCC,326,597,,,,,,10.1016/j.actamat.2018.12.015,
Co1Cr1Ni1,WROUGHT,T,25,,8.3,FCC,223,346,,,,68,,10.1016/j.actamat.2018.12.015,
Co1Cr1Ni1,WROUGHT,T,25,,8.3,FCC,,300,860,,,60,,10.1016/j.actamat.2014.08.026,
Co1Cr1Ni1,,,,,8.3,,,,,229,,48,, 10.1038/ncomms10602,
Co1Cu1Fe1Mn1Ni1,CAST,,800,,8.4,FCC,,,,,189,,14,10.1016/j.msea.2019.04.096,
Co1Cu1Fe1Mn1Ni1,CAST,,900,,8.4,FCC,,,,,189,,,10.1016/j.msea.2019.04.096,
Co1Cu1Fe1Mn1Ni1,CAST,,100,,8.4,FCC,,,,,189,,,10.1016/j.msea.2019.04.096,
