FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al1 Nb1 Ti1 V1,ANNEAL,C,1000.0,,5.5,1,,158.0,,,,,,10.1016/j.matlet.2014.11.162,
Al1 Nb1 Ti1 V1,ANNEAL,C,600.0,,5.5,1,,780.0,1005.0,,104.0,,,10.1016/j.jallcom.2015.08.224,
Al1 Nb1 Ti1 V1,ANNEAL,C,800.0,,5.5,1,,560.0,700.0,,104.0,,,10.1016/j.jallcom.2015.08.224,
Al1 Nb1 Ti1 V1,ANNEAL,C,1000.0,,5.5,1,,110.0,,,104.0,,,10.1016/j.jallcom.2015.08.224,
Al1 Nb1 Ti1 V1,ANNEAL,C,25.0,,5.5,1,,1000.0,1280.0,,104.0,,,10.1016/j.jallcom.2015.08.224,
Al2.5 Co1 Cr1 Fe1 Ni1,,,25.0,5.6,5.570968838,1,487.0,,,,151.6772537,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.8 Co1 Cr1 Cu1 Fe1,,,25.0,5.5,5.452203263,1,657.0,,,,138.8857398,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2.8 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,5.8,5.815313496,1,650.0,,,,145.3100973,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al22.5 Cu20 Fe15 Ni20 Ti22.5,,C,25.0,5.9,5.879319466,0,516.0,980.0,1326.0,140.0,131.1704646,7.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,1000.0,6.3,6.271288576,1,,116.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,1100.0,6.3,6.271288576,1,,79.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,6.3,6.271288576,1,,1620.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,600.0,6.3,6.271288576,1,,805.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,500.0,6.3,6.271288576,1,,1120.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,700.0,6.3,6.271288576,1,,567.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,900.0,6.3,6.271288576,1,,214.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Cu1 Fe1 Ni1,,,800.0,6.3,6.271288576,1,,302.0,,,156.3263851,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Fe1 Mo0.5 Ni1,,,25.0,6.3,6.263645919,1,605.0,,,,175.4008035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Fe1 Ni1,,,25.0,5.9,5.872861963,1,509.0,,,,160.2604035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Fe1 Ni1,,,25.0,5.9,5.872861963,1,512.0,,,,160.2604035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Fe1 Ni1,,,25.0,5.9,5.872861963,1,432.0,,,,160.2604035,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,5.6,5.621741192,1,643.0,,1030.0,165.0,152.1715905,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al2 Cr1 Cu1 Fe1 Ni2,,C,,,6.276084549,1,,,,,155.1631569,,,,Paper_Collection_5_element
Al3.0 Co1 Cr1 Cu1 Fe1,,,25.0,5.4,5.357399497,1,644.0,,,,136.5144578,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al3 Co1 Cr1 Cu1 Fe1 Ni1,,,25.0,5.7,5.718941271,1,640.0,,,,142.9817592,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al3 Co1 Cr1 Fe1 Ni1,,,25.0,5.3,5.321505919,1,506.0,,,,144.5847516,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al8 Co20 Cr18 Fe9 Nb4 Ni41,ANNEAL,C,,,7.783905237,0,,,,,196.765211,,,,Paper_Collection_6_element
Al1 Co1 Cr1 Cu1 Fe1 Mn1 Ti1 V1,,C,25.0,6.39,6.381747844,2,,1860.0,,,159.6955442,0.95,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Cu1 Ni1 Ti1,,C,25.0,6.4,6.385100199,1,,,1495.0,167.0,157.2914594,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y1,,C,25.0,5.8,5.826821544,2,,,1192.0,,130.0654727,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.5,,C,25.0,6.1,6.058270172,2,,,1025.0,,141.3526985,3.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Cu1 Ni1 Ti1 Y0.8,,C,25.0,5.9,5.910793115,2,,,1325.0,,134.1605762,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,,C,25.0,6.8,6.803137068,1,,1804.0,2280.0,,187.8028973,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,,C,25.0,6.8,6.769776572,1,569.0,1641.0,3285.0,,182.0579107,17.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,,25.0,6.7,6.717648579,1,484.0,,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,,25.0,6.7,6.717648579,1,395.0,,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1251.0,2004.0,,184.2786056,33.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1051.0,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1110.0,,,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1138.0,,194.0,184.2786056,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,,1138.0,,194.0,184.2786056,11.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.7,6.717648579,1,520.0,1373.0,3531.0,,184.2786056,25.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.715,6.717648579,1,,1140.0,,125.0,184.2786056,14.0,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.715,6.717648579,1,520.0,1370.0,,,184.2786056,15.0,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.715,6.717648579,1,,1050.0,,,184.2786056,22.0,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1,,C,25.0,6.715,6.717648579,1,457.5,1150.0,,125.0,184.2786056,,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,,C,25.0,6.805,6.803137068,1,,1800.0,,,187.8028973,9.1,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,,C,25.0,6.775,6.769776572,1,569.0,1640.0,,,182.0579107,17.2,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1 Si1,,C,25.0,5.7,5.651384641,1,,1110.0,,,150.9268735,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1 Si1,,C,25.0,5.655,5.651384641,1,,1110.0,,,150.9268735,1.0,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,,C,25.0,6.5,6.45294893,1,,1265.0,2173.0,,175.9990498,14.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1 Si0.2,,C,25.0,6.455,6.45294893,1,,1260.0,,,175.9990498,14.0,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,,C,25.0,6.2,6.218362268,1,,1481.0,2444.0,,168.6613999,13.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1 Si0.4,,C,25.0,6.215,6.218362268,1,,1480.0,,,168.6613999,13.0,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,,C,25.0,6.0,6.009026544,1,,1834.0,2195.0,,162.1135755,3.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1 Si0.6,,C,25.0,6.005,6.009026544,1,,1830.0,,,162.1135755,3.0,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,6.2,6.228043003,1,,1860.0,2580.0,181.0,169.2125674,9.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1 Ti1,,C,25.0,6.24,6.228043003,1,,1860.0,,119.0,169.2125674,9.0,,,Prof.Yeh-3dtransitional
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,,C,25.0,6.4,6.442487963,0,178.0,2040.0,3135.0,187.0,175.8114219,24.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1 Ti0.5,,C,25.0,6.4,6.442487963,1,178.0,2260.0,3140.0,187.0,175.8114219,23.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cr1 Fe1 Ni1 Ti1 V1 Zr1,,,25.0,6.3,6.270999626,2,780.0,,,,144.2424887,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Cu1 Fe1 Nb1 Ni1,,,25.0,7.4,7.39087831,2,578.0,,,,144.3253262,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Fe1 Ni1,,C,25.0,6.6,6.604716099,1,456.0,964.0,,,161.7140033,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,,,25.0,6.2,6.165887156,1,790.0,,,,128.8580452,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr0.5 Nb1 Ti1 V1,,C,25.0,5.6,5.637471918,1,,1300.0,1430.0,,118.5332335,1.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr0.5 Nb1 Ti1 V1,ANNEAL,C,25.0,5.6,5.637471918,1,,1300.0,1430.0,124.0,118.5332335,1.0,1.0,,Prof.Yeh-RHEA
Al1 Cr1 Fe1 Ni1,,C,25.0,6.3,6.260628877,1,472.0,1406.0,2927.0,,178.9440311,29.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Fe1 Ni1,,C,25.0,6.262,6.260628877,1,472.5,1410.0,,,178.9440311,28.5,,,Prof.Yeh-3dtransitional
Al1 Cr1 Fe1 Mo0.2 Ni1,,C,25.0,6.5,6.487648344,1,549.0,1487.0,3222.0,,187.5301653,29.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Fe1 Mo0.2 Ni1,,C,25.0,6.485,6.487648344,1,548.5,1490.0,,,187.5301653,28.7,,,Prof.Yeh-3dtransitional
Al1 Cr1 Fe1 Mo0.5 Ni1,,C,25.0,6.8,6.783315691,1,622.0,1749.0,2644.0,,198.7126404,13.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Fe1 Mo0.5 Ni1,,C,25.0,6.785,6.783315691,1,621.5,1750.0,,,198.7126404,12.6,,,Prof.Yeh-3dtransitional
Al1 Cr1 Mo1 Nb1 Ti1,,,25.0,6.6,6.565952966,1,,,,,170.0203827,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Mo1 Nb1 Ti1,,,400.0,6.6,6.565952966,1,,1080.0,,,170.0203827,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Mo1 Nb1 Ti1,,,600.0,6.6,6.565952966,1,,1060.0,,,170.0203827,3.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Mo1 Nb1 Ti1,,,800.0,6.6,6.565952966,1,,860.0,,,170.0203827,2.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Mo1 Nb1 Ti1,,,1000.0,6.6,6.565952966,1,,594.0,,,170.0203827,15.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Mo1 Nb1 Ti1,,,1200.0,6.6,6.565952966,1,,105.0,,,170.0203827,24.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cr1 Mo1 Ti1,ANNEAL,C,25.0,6.64,5.980795667,1,,1060.0,,,188.9242953,,,,Prof.Yeh-RHEA
Al1 Cu0.2 Li0.5 Mg1 Zn0.5,,,25.0,2.7,2.743501824,2,,,,,55.91035824,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cu0.5 Li0.5 Mg1 Sn0.2,,,25.0,3.0,2.954533092,2,,,,,53.23658334,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cu1 Fe1 Ni1 Ti1,,C,25.0,6.1,6.105067309,0,516.0,1074.0,1617.0,145.0,136.9184166,8.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cu1 Fe1 Ni1 Ti1,,C,25.0,6.105,6.105067309,1,516.0,1070.0,,146.0,136.9184166,8.2,,,Prof.Yeh-3dtransitional
Al1 Cu1 Ni1 Ti1,,C,25.0,5.7,5.739310967,0,537.0,300.0,536.0,129.0,121.62318,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Cu1 Ni1 Ti1,,C,25.0,5.745,5.739310967,0,537.0,300.0,,108.0,121.62318,0.85,,,Prof.Yeh-3dtransitional
Al1 Fe1 Ni1 Ti1 V1 Zr1,,,25.0,5.9,5.851613812,1,800.0,,,,119.4237557,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,25.0,7.1,7.147250402,1,,2000.0,,,118.2773132,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,800.0,7.1,7.147250402,1,,1597.0,,,118.2773132,11.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,1000.0,7.1,7.147250402,1,,745.0,,,118.2773132,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,,1200.0,7.1,7.147250402,1,,250.0,,,118.2773132,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,,C,25.0,7.1,7.147250402,1,591.0,2000.0,2368.0,,118.2773132,10.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Mo1 Nb1 Ti1 V1,,C,25.0,6.4,6.398950958,1,537.0,1375.0,,,146.8857027,3.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Mo1 Nb1 Ti1 V1,CAST,C,25.0,6.4,6.398950958,1,537.0,1375.0,,150.0,146.8857027,3.0,2.0,,Prof.Yeh-RHEA
Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5,,,25.0,6.8,6.848966848,1,,1280.0,,,105.1027635,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5,,,800.0,6.8,6.848966848,1,,728.0,,,105.1027635,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5,,,1000.0,6.8,6.848966848,1,,403.0,,,105.1027635,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1.5 Ta0.5 Ti1.5 Zr0.5,,C,25.0,6.8,6.848966848,1,408.0,1280.0,1367.0,,105.1027635,4.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1 Ta1 Ti1 V1,,C,25.0,7.9,7.891870036,1,,993.0,,121.0,121.5333728,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1 Ti1 V1,,,25.0,5.5,5.496265861,1,,1020.0,,,103.9545112,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1 Ti1 V1,,,600.0,5.5,5.496265861,1,,810.0,,,103.9545112,12.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1 Ti1 V1,,,800.0,5.5,5.496265861,1,,685.0,,,103.9545112,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1 Ti1 V1,,,1000.0,5.5,5.496265861,1,,158.0,,,103.9545112,50.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1 Ti1 V1,,C,25.0,5.5,5.496265861,1,448.0,1020.0,1318.0,,103.9545112,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1 Ti1 V1,,C,25.0,5.5,5.496265861,1,,1000.0,1280.0,,103.9545112,5.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al1 Nb1 Ti1 V1,ANNEAL,C,25.0,5.59,5.496265861,1,443.5,1020.0,,,103.9545112,5.0,5.0,,Prof.Yeh-RHEA
C0.111 Co1 Cr1 Fe1 Ni1 W0.111,POWDER,,,7.24,8.5,0,475.0,,,,,,,10.3390/coatings9010016,
C0.429 Co1 Cr1 Fe1 Ni1 W0.429,POWDER,,,8.39,9.1,0,531.0,,,,,,,10.3390/coatings9010016,
C0.5 Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,7.6,0,,520.9,791.0,,,40.3,,10.1016/j.msea.2019.01.050,
C1 Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,T,25.0,,7.3,0,,643.8,888.0,,,31.9,,10.1016/j.msea.2019.01.050,
Co0.25 Cr0.25 Fe1 Mn1,CAST,T,25.0,,7.7,0,,213.0,471.0,,212.0,55.7,,10.1016/j.msea.2019.138039,
Co0.25 Cr0.25 Fe1 Mn1,CAST,T,25.0,,7.7,0,,393.0,634.0,,212.0,26.5,,10.1016/j.msea.2019.138039,
Co0.25 Cr0.25 Fe1 Mn1,WROUGHT,T,25.0,,7.7,0,,792.0,1055.0,,212.0,22.6,,10.1016/j.msea.2019.138039,
Co0.25 Cr0.25 Fe1 Mn1,WROUGHT,T,25.0,,7.7,0,,559.0,1004.0,,212.0,33.9,,10.1016/j.msea.2019.138039,
Co0.25 Cr0.25 Fe1 Mn1,WROUGHT,T,25.0,,7.7,0,,512.0,978.0,,212.0,55.3,,10.1016/j.msea.2019.138039,
Co0.25 Cr0.25 Fe1 Mn1,WROUGHT,T,25.0,,7.7,0,,476.0,947.0,,212.0,69.4,,10.1016/j.msea.2019.138039,
Co0.25 Cr1 Ni1,WROUGHT,T,25.0,,8.1,0,,518.0,744.0,240.0,238.0,36.0,,10.1016/j.actamat.2019.04.017,
Co0.25 Cr1 Ni1,WROUGHT,T,25.0,,8.1,0,,462.0,703.0,240.0,238.0,46.0,,10.1016/j.actamat.2019.04.017,
Co0.25 Cr1 Ni1,WROUGHT,T,25.0,,8.1,0,,395.0,644.0,240.0,238.0,58.0,,10.1016/j.actamat.2019.04.017,
Co0.25 Cr1 Ni1,WROUGHT,T,25.0,,8.1,0,,356.0,588.0,240.0,238.0,64.0,,10.1016/j.actamat.2019.04.017,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,401.0,717.0,,208.0,49.0,,10.1016/j.msea.2018.12.077,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,350.0,690.0,,208.0,50.0,,10.1016/j.msea.2018.12.077,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,312.0,660.0,,208.0,51.0,,10.1016/j.msea.2018.12.077,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,240.0,610.0,,208.0,53.0,,10.1016/j.msea.2018.12.077,
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,WROUGHT,T,25.0,,7.9,0,,210.0,593.0,,208.0,52.0,,10.1016/j.msea.2018.12.077,
Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,WROUGHT,,,,7.8,0,197.0,,,,213.0,,,10.1016/j.msea.2019.138181,
Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,WROUGHT,T,25.0,,7.8,0,308.0,586.0,875.0,,213.0,46.0,,10.1016/j.msea.2019.138181,
Co0.5 Cr0.5 Fe1 Ni1,WROUGHT,T,25.0,,8.2,0,,214.0,612.0,,219.0,77.3,,10.1080/21663831.2018.1553803,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,-196.0,,8.4,0,,419.0,,,202.0,,34.6,10.1016/j.scriptamat.2019.02.038,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,-70.0,,8.4,0,,350.0,,,202.0,,28.8,10.1016/j.scriptamat.2019.02.038,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,20.0,,8.4,0,,252.0,,,202.0,,82.1,10.1016/j.scriptamat.2019.02.038,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,600.0,,8.4,0,,214.0,,,202.0,,189.2,10.1016/j.scriptamat.2019.02.038,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,700.0,,8.4,0,,212.0,,,202.0,,154.3,10.1016/j.scriptamat.2019.02.038,
Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,CAST,T,800.0,,8.4,0,,187.0,,,202.0,,119.5,10.1016/j.scriptamat.2019.02.038,
Co0.875 Cr0.625 Fe1 Ni1,WROUGHT,T,25.0,,8.3,0,,241.0,721.0,,220.0,96.2,,10.1080/21663831.2018.1553803,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,WROUGHT,T,25.0,,8.0,1,,1290.0,1415.0,,220.0,1.1,,10.1016/j.msea.2019.01.112,
Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,WROUGHT,T,25.0,,8.0,0,,270.0,630.0,,220.0,46.2,,10.1016/j.msea.2019.01.112,
Co1.5 Cr1 Fe1 Ni1.5 Ti0.5,,,25.0,7.8,7.79697679,0,509.0,,,,207.3950164,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Co1 Cr0.053 Ni1,WROUGHT,T,25.0,,8.8,0,,,,219.0,207.0,,,10.1016/j.actamat.2019.04.017,
Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,0,,745.0,824.0,223.0,213.0,36.0,,10.1016/j.actamat.2019.04.017,
Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,0,,623.0,746.0,223.0,213.0,53.0,,10.1016/j.actamat.2019.04.017,
Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,0,,387.0,626.0,223.0,213.0,73.0,,10.1016/j.actamat.2019.04.017,
Co1 Cr0.25 Ni1,WROUGHT,T,25.0,,8.7,0,,330.0,553.0,223.0,213.0,101.0,,10.1016/j.actamat.2019.04.017,
