FORMULA,PROPERTY: Processing method,PROPERTY: Type of test,Measuremet T (?°C),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Microstructure,PROPERTY: HV,PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),Others: DOI,Others: Reference
Al0.25 Mo1 Nb1 Ti1 V1,,C,25.0,7.1,7.065041148,1,460.0,1250.0,,,160.7240221,13.0,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Mo1 Nb1 Ti1 V1,CAST,C,25.0,7.1,7.065041148,1,460.0,1250.0,,164.0,160.7240221,13.0,12.0,,Prof.Yeh-RHEA
Al0.25 Nb1 Ta1 Ti1 V1,CAST,C,25.0,,8.8,1,,1330.0,,,130.0,,,10.1016/j.proeng.2012.03.043,
Al0.25 Nb1 Ta1 Ti1 V1,,C,25.0,8.8,8.794810956,1,,1330.0,,130.0,130.4925823,,,https://doi.org/10.1016/j.dib.2018.11.111,Data in Brief 21 (2018) 2664¡V2678
Al0.25 Nb1 Ta1 Ti1 V1,CAST,C,25.0,8.8,8.794810956,1,,1330.0,,92.0,130.4925823,50.0,50.0,,Prof.Yeh-RHEA
Al0.278 Co0.556 Cr0.556 Cu0.556 Fe0.556 Ni0.556 V1,CAST,,25.0,,7.2,1,597.0,,,,172.0,,,10.1007/s11661-006-0081-3,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,23.0,,7.4,0,,520.0,696.0,,,,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,600.0,,7.4,0,,470.0,561.0,,,,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,700.0,,7.4,0,,461.0,560.0,,,12.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,800.0,,7.4,0,,445.0,536.0,,,20.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,900.0,,7.4,0,,219.0,312.0,,,18.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,23.0,,7.4,0,,627.0,1197.0,,,11.0,,10.3390/e21020169,
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,ANNEAL,T,600.0,,7.4,0,,594.0,1006.0,,185.0,49.0,,10.3390/e21020169,
